RBP,have_motif,have_mean,no_motif,no_mean,D,p,fdr
HNRNPA1*,20848,6.313277626,3043,6.863167316,0.029377496,0.020439332,1
NOVA1,23891,6.383317152,0,NaN,0,1,1
RBMX,23315,6.382130811,576,6.431337196,0.037445344,0.40981223,1
HNRNPH1,23886,6.383221798,5,6.838841218,0,1,1
RBM14,4159,6.322988725,19732,6.396032839,0.021108229,0.093674702,1
HNRNPDL,18083,6.284699658,5808,6.690359188,0.019990809,0.059576812,1
MATR3,5914,6.291183112,17977,6.413627032,0.014625817,0.297022103,1
YTHDC1,23717,6.375171973,174,7.493542532,0.077523082,0.250319981,1
TRA2B,23635,6.37461213,256,7.187001508,0.052845522,0.479114641,1
SRSF10,21828,6.352159859,2063,6.712983368,0.036269549,0.014040038,1
RBM3,10467,6.389786436,13424,6.378272903,0.010841661,0.493937614,1
SNRNP70,9304,6.408339169,14587,6.367357404,0.020346013,0.018133101,1
RBFOX2,7061,6.131493983,16830,6.488969166,0.018999024,0.055143446,1
LIN28A,19905,6.332914521,3986,6.635014187,0.025777965,0.024223096,1
HNRNPC,15983,6.397072978,7908,6.355515008,0.017213194,0.086988558,1
PPRC1,7372,6.403724665,16519,6.37420981,0.02306201,0.008836652,1
HNRNPF,23800,6.378609414,91,7.614571791,0.085694893,0.518473292,1
G3BP1,264,5.982454174,23627,6.387796258,0.057765031,0.348340681,1
FUS,23191,6.363273562,700,7.047361291,0.040047432,0.225862522,1
PUM2,1860,6.014799822,22031,6.414429777,0.029321733,0.104735432,1
CPEB2,4657,6.406321469,19234,6.377747271,0.012993139,0.551347507,1
RBM41,7812,6.400569972,16079,6.374934851,0.018962878,0.045591765,1
ELAVL1,21599,6.368836679,2292,6.519776026,0.031041084,0.036882135,1
FMR1,21916,6.320807843,1975,7.076964759,0.036272627,0.017004816,1
DAZAP1*,18958,6.334182804,4933,6.572145244,0.012580639,0.565244357,1
YBX2,11447,6.259688071,12444,6.497041204,0.012430691,0.315557192,1
RBMS3,8870,6.328643718,15021,6.415602177,0.015571773,0.133761392,1
ELAVL4,20080,6.390716581,3811,6.344329871,0.020884868,0.122296203,1
RBM8A,6899,6.241406936,16992,6.440934771,0.019773875,0.043109042,1
HNRNPH2*,23388,6.358240502,503,7.549306586,0.076109531,0.006660376,1
SRSF1*,12778,6.264916063,11113,6.519457629,0.013772526,0.209537142,1
RBFOX1*,8826,6.286305493,15065,6.440152526,0.01664747,0.09147079,1
PABPN1,18440,6.379151321,5451,6.397409598,0.017297529,0.16120805,1
SNRPA,10128,6.203957903,13763,6.515305125,0.021116994,0.01099443,1
PABPC5,10654,6.350211697,13237,6.409962579,0.016020677,0.096608898,1
KHDRBS1,18552,6.372054718,5339,6.422451948,0.01679825,0.192525964,1
SRSF11,16472,6.38812336,7419,6.372646192,0.013216643,0.333354634,1
SF1*,9586,6.228945042,14305,6.486764272,0.013306747,0.261384519,1
FXR1,14353,6.309427497,9538,6.494507991,0.012012214,0.380026445,1
IGF2BP1,4,7.429532691,23887,6.383141958,0,1,1
CPEB1,11421,6.345954482,12470,6.417536803,0.012863626,0.277405936,1
RBM28,3672,6.193439072,20219,6.417801168,0.017385999,0.304506584,1
ANKHD1,3255,6.130674047,20636,6.423167574,0.021867933,0.135857722,1
RBM4,6040,6.278698053,17851,6.418715693,0.013120075,0.418931537,1
IFIH1,20624,6.332718831,3267,6.702735508,0.025216653,0.055379058,1
FXR2,20281,6.336681233,3610,6.645318004,0.023876434,0.06075249,1
CSTF2,536,6.67799095,23355,6.376554354,0.046640832,0.20441574,1
NELFE,102,5.789827978,23789,6.385861853,0.081333109,0.51249828,1
SSB,23546,6.369769923,345,7.30790571,0.069007444,0.078452402,1
SRP54,23789,6.381842049,102,6.727348802,0.107675404,0.189610343,1
TUT1,5088,6.336714152,18803,6.395927697,0.019057044,0.109088583,1
SRP19,23795,6.377793171,96,7.752516423,0.154210881,0.021185081,1
RALY,3521,6.471090189,20370,6.368145387,0.015904768,0.433344252,1
SART3,10900,6.322377178,12991,6.434448375,0.014221674,0.181745693,1
TARDBP,17908,6.270891049,5983,6.719825034,0.025560462,0.005702369,1
DHX9,18987,6.407137381,4904,6.291091482,0.022925233,0.033256063,1
HNRNPA0,13202,6.387849038,10689,6.377719813,0.013401653,0.239237103,1
SYNCRIP,4205,6.245988365,19686,6.412651072,0.015965631,0.340193057,1
CELF4,12292,6.31429114,11599,6.456467229,0.017115066,0.060623176,1
