noncode,lncrna_id,lncrna_source,lncrna_name,lambda.z,r.squared,adj.r.squared,lambda.z.time.first,lambda.z.n.points,clast.pred,half.life,span.ratio,tmax,tlast
NONHSAT091187.2,NONHSAT091187.2,lncipedia,lnc-SLC35A5-1-1_dup1,0.112999094,0.966385547,0.932771094,6,3,0.072791491,6.13409502,2.934418189,0,24
NONHSAT091243.2,ENST00000496068,lncipedia,"lnc-KIAA2018-2-1_dup1,lnc-KIAA2018-2-1",0.086379482,0.996234257,0.992468513,6,3,1.539727889,8.024442409,2.243146512,0,24
NONHSAT091273.2,NONHSAT091273.2,lncipedia,lnc-ZBTB20-1-2_dup1,0.027152504,0.994373965,0.98874793,6,3,9.750986925,25.52792842,0.705110094,0,24
NONHSAT091308.2,ENST00000470970,lncipedia,"lnc-GAP43-10-1_dup1,lnc-GAP43-10-1",0.120299656,0.940199183,0.880398366,0,3,0.355502478,5.761838428,2.082668605,0,12
NONHSAT091399.2,NONHSAT091399.2,lncipedia,lnc-POPDC2-1-1_dup1,0.10810341,0.966024579,0.949036869,0,4,0.348943451,6.411890043,3.743046097,0,24
NONHSAT091402.2,NONHSAT091402.2,lncipedia,lnc-POPDC2-3-1_dup1,0.038153418,0.919177111,0.838354222,6,3,1.34710752,18.16736769,0.990787455,0,24
NONHSAT091517.2,NONHSAT091517.2,lncipedia,lnc-SEC22A-1-2_dup1,0.152709825,0.968979367,0.937958734,6,3,0.107192415,4.538982226,3.965646725,0,24
NONHSAT091529.2,ENST00000485162,lncipedia,lnc-SEC22A-2-1,0.089617965,0.962342595,0.92468519,0,3,0.170132454,7.734466894,3.102993436,0,24
NONHSAT091534.2,NONHSAT091534.2,lncipedia,"lnc-SEC22A-7-1_dup1,lnc-SEC22A-7-1",0.101969001,0.988007352,0.982011029,0,4,0.362344944,6.797626455,3.530644139,0,24
NONHSAT091535.2,NONHSAT091535.2,lncipedia,"lnc-PTPLB-2-1_dup1,lnc-PTPLB-2-1",0.030153498,0.999237304,0.998474608,6,3,0.886613202,22.98728933,0.783041434,0,24
NONHSAT091546.2,NONHSAT091546.2,lncipedia,lnc-CCDC14-2-1,0.061454524,0.99874222,0.997484439,6,3,0.177887171,11.27902611,1.595882466,0,24
NONHSAT091573.2,ENST00000624807,lncipedia,"lnc-MUC13-7-1_dup1,lnc-MUC13-7-1",0.023704982,0.874824425,0.749648849,6,3,2.786067821,29.24056943,0.615583087,0,24
NONHSAT091589.2,NONHSAT091589.2,lncipedia,lnc-HEG1-3-1_dup1,0.149306273,0.91626094,0.87439141,0,4,0.121605549,4.642451837,5.169682065,0,24
NONHSAT091591.2,ENST00000485817,lncipedia,"lnc-SLC12A8-2-1_dup1,lnc-SLC12A8-2-1",0.115605507,0.955964424,0.911928847,6,3,0.363319469,5.995797238,3.002102854,0,24
NONHSAT091621.2,ENST00000599176,lncipedia,lnc-ALG1L-2-14_dup1,0.206103499,0.995079797,0.990159595,0,3,0.168887828,3.363102446,3.568133946,0,12
NONHSAT091691.2,NONHSAT091691.2,lncipedia,"lnc-UROC1-1-1_dup1,lnc-UROC1-1-1",0.075203934,0.995355762,0.990711524,6,3,2.116562952,9.216900566,1.952934164,0,24
NONHSAT091708.2,ENST00000625022,lncipedia,"lnc-PLXNA1-1-1_dup1,lnc-PLXNA1-1-1",0.093407378,0.99498675,0.992480125,0,4,0.035207597,7.420689866,3.234200652,0,24
NONHSAT091750.2,NONHSAT091750.2,lncipedia,lnc-MGLL-5-1_dup1,0.070192303,0.999677115,0.99935423,6,3,0.210931346,9.874974194,1.822789574,0,24
NONHSAT091771.2,NONHSAT091771.2,lncipedia,"lnc-EEFSEC-4-1_dup1,lnc-EEFSEC-4-1",0.148365033,0.965888111,0.931776223,0,3,0.091640744,4.671903942,2.568545961,0,12
NONHSAT091777.2,NONHSAT091777.2,lncipedia,"lnc-RAB7A-2-1_dup1,lnc-RAB7A-2-1",0.061454524,0.99874222,0.99748444,6,3,0.074119655,11.27902613,1.595882462,0,24
NONHSAT091784.2,ENST00000480095,lncipedia,"lnc-ACAD9-3-1_dup1,lnc-ACAD9-3-1",0.318646233,0.975565756,0.951131512,0,3,0.15912271,2.175287544,5.516512074,0,12
NONHSAT091956.2,NONHSAT091956.2,lncipedia,lnc-ACAD9-2-1,0.079973745,0.981335746,0.962671492,6,3,0.022949229,8.667184228,2.076799053,0,24
NONHSAT092032.2,NONHSAT092032.2,lncipedia,lnc-C3orf25-3-1_dup1,0.044780942,0.994757119,0.989514237,0,3,0.134350166,15.47862007,1.550525815,0,24
NONHSAT092100.2,ENST00000504808,lncipedia,lnc-TRH-2-3_dup1,0.119062919,0.986269688,0.972539377,6,3,0.036862494,5.821688133,3.091886681,0,24
NONHSAT092145.2,ENST00000565095,lncipedia,"lnc-MRPL3-1-1_dup1,lnc-MRPL3-1-1",0.03442913,0.900420753,0.800841505,6,3,2.296910283,20.13257922,0.894073223,6,24
NONHSAT092207.2,NONHSAT092207.2,lncipedia,lnc-SRPRB-1-1_dup1,0.054159609,0.99963244,0.999264881,6,3,0.367125866,12.79823097,1.406444378,6,24
NONHSAT092227.2,NONHSAT092227.2,lncipedia,"lnc-SLCO2A1-2-1_dup1,lnc-SLCO2A1-2-1",0.090343102,0.965829487,0.94874423,0,4,0.464808449,7.672386348,3.128101077,0,24
NONHSAT092234.2,ENST00000568384,lncipedia,"lnc-AMOTL2-1-1_dup1,lnc-AMOTL2-1-1",0.11761999,0.930447518,0.895671277,0,4,0.069118536,5.893106956,4.072554627,0,24
NONHSAT092235.2,ENST00000273411,lncipedia,lnc-AMOTL2-3-1_dup1,0.047312674,0.995725728,0.991451455,6,3,0.373205098,14.65034901,1.228639671,0,24
NONHSAT092281.2,ENST00000468074,lncipedia,"lnc-MSL2-6-1_dup1,lnc-MSL2-6-1",0.095125914,0.98105836,0.96211672,6,3,0.517161176,7.286628344,2.470278317,0,24
NONHSAT092317.2,NONHSAT092317.2,lncipedia,"lnc-DZIP1L-1-1_dup1,lnc-DZIP1L-1-1",0.13480507,0.993718199,0.987436398,6,3,0.337598426,5.141848022,3.500686897,0,24
NONHSAT092324.2,NONHSAT092324.2,lncipedia,lnc-ARMC8-1-1_dup1,0.042547557,0.999424062,0.998848125,6,3,1.03225819,16.29111601,1.104896681,6,24
NONHSAT092333.2,ENST00000624916,lncipedia,lnc-ESYT3-2-1,0.035656319,0.988553007,0.977106015,0,3,0.093007033,19.43967292,1.234588673,0,24
NONHSAT092369.2,NONHSAT092369.2,lncipedia,lnc-MRPS22-1-13_dup1,0.103987908,0.981489768,0.962979537,6,3,0.181201012,6.66565175,2.700411104,0,24
NONHSAT092426.2,NONHSAT092426.2,lncipedia,"lnc-ACPL2-2-1_dup1,lnc-ACPL2-2-1",0.038939401,0.95511101,0.910222021,6,3,2.325709473,17.80066361,1.011198256,0,24
NONHSAT092473.2,ENST00000460977,lncipedia,lnc-XRN1-1-1_dup1,0.281679043,0.982591645,0.96518329,0,3,0.394326661,2.46076944,4.876523499,0,12
NONHSAT092544.2,NONHSAT092544.2,lncipedia,"lnc-PLOD2-4-1_dup1,lnc-PLOD2-4-1",0.087703326,0.989197433,0.978394865,6,3,0.694628501,7.903316882,2.277524775,0,24
NONHSAT092546.2,ENST00000567714,lncipedia,"lnc-PLOD2-2-1_dup1,lnc-PLOD2-2-1",0.046718878,0.996345378,0.992690756,6,3,3.30930826,14.83655443,1.213219693,0,24
NONHSAT092559.2,ENST00000624849,lncipedia,"lnc-PLSCR2-2-1_dup1,lnc-PLSCR2-2-1",0.061448105,0.998729332,0.997458664,6,3,0.140714058,11.28020429,1.595715781,0,24
NONHSAT092663.2,NONHSAT092663.2,lncipedia,lnc-PFN2-4-1_dup1,0.098247246,0.987439761,0.974879522,6,3,0.719646289,7.055130903,2.551334659,0,24
NONHSAT092743.2,ENST00000485020,lncipedia,lnc-AADAC-1-1_dup1,0.036868907,0.970766414,0.941532828,6,3,9.177256978,18.80031812,0.957430608,0,24
NONHSAT092855.2,NONHSAT092855.2,lncipedia,lnc-SSR3-5-1,0.045292933,0.925580399,0.851160797,6,3,6.559443908,15.3036496,1.176190024,6,24
NONHSAT092866.2,ENST00000473352,lncipedia,lnc-SSR3-3-1_dup1,0.120299656,0.999508898,0.999017796,0,3,0.200473231,5.761838434,2.082668603,0,12
NONHSAT092868.2,NONHSAT092868.2,lncipedia,"lnc-SSR3-10-1_dup1,lnc-SSR3-10-1",0.061426908,0.880870709,0.821306064,0,4,1.557087071,11.2840969,2.126887089,0,24
NONHSAT092943.2,ENST00000460866,lncipedia,"lnc-GFM1-3-1_dup1,lnc-GFM1-3-1",0.206103499,0.978240131,0.956480262,0,3,0.318740266,3.363102449,3.568133943,0,12
NONHSAT092952.2,NONHSAT092952.2,lncipedia,"lnc-MFSD1-2-1_dup1,lnc-MFSD1-2-1",0.126404502,0.996317687,0.992635374,6,3,0.108446154,5.483564027,3.28253667,0,24
NONHSAT092961.2,ENST00000485389,lncipedia,"lnc-RP11-432B6.3.1-8-1_dup1,lnc-RP11-432B6.3.1-8-1",0.257740271,0.908216719,0.816433438,0,3,0.049073346,2.68932433,4.462087323,0,12
NONHSAT092995.2,NONHSAT092995.2,lncipedia,"lnc-TRIM59-1-2_dup1,lnc-TRIM59-1-2",0.116730775,0.823843206,0.735764809,0,4,0.137257878,5.937998603,4.041765855,0,24
NONHSAT093012.2,NONHSAT093012.2,lncipedia,lnc-NMD3-2-1_dup1,0.095620356,0.966601081,0.933202161,6,3,0.119337024,7.248950005,2.483118243,6,24
NONHSAT093069.2,NONHSAT093069.2,lncipedia,lnc-SERPINI1-8-6_dup1,0.022565556,0.981943463,0.963886925,6,3,1.007284805,30.71704455,0.585993876,0,24
NONHSAT093200.2,ENST00000468232,lncipedia,lnc-CLDN11-1-1,0.155203342,0.956906174,0.913812348,0,3,0.384641624,4.46605835,2.686933098,0,12
NONHSAT093335.2,ENST00000434246,lncipedia,lnc-TBL1XR1-11-1,0.128263139,0.967764854,0.935529708,0,3,0.711512346,5.404102726,2.22053514,0,12
NONHSAT093338.2,NONHSAT093338.2,lncipedia,lnc-ZMAT3-8-1_dup1,0.042155907,0.893786212,0.787572425,6,3,0.104532346,16.44246858,1.09472613,0,24
NONHSAT093384.2,NONHSAT093384.2,lncipedia,lnc-ZMAT3-5-1_dup1,0.257740271,0.996504562,0.993009124,0,3,0.046393325,2.689324329,4.462087324,0,12
NONHSAT093388.2,NONHSAT093388.2,lncipedia,"lnc-ZNF639-4-1_dup1,lnc-ZNF639-4-1",0.035581696,0.883535219,0.825302829,0,4,0.063778645,19.48044222,1.232004886,0,24
NONHSAT093392.2,ENST00000569932,lncipedia,lnc-ZNF639-1-2_dup1,0.07827259,0.999229928,0.998459856,6,3,0.363256533,8.855554462,2.032622585,6,24
NONHSAT093396.2,ENST00000600539,lncipedia,lnc-MFN1-1-2_dup1,0.137096565,0.97420941,0.961314115,0,4,0.115758239,5.055904784,4.746924839,0,24
NONHSAT093457.2,NONHSAT093457.2,lncipedia,"lnc-FXR1-1-1_dup1,lnc-FXR1-1-1",0.081542161,0.978675957,0.957351914,6,3,0.254598842,8.500475929,2.117528495,6,24
NONHSAT093752.2,NONHSAT093752.2,lncipedia,"lnc-EIF2B5-7-1_dup1,lnc-EIF2B5-7-1",0.272349448,0.900654714,0.801309428,0,3,0.056602534,2.545065483,4.715006384,0,12
NONHSAT093759.2,ENST00000447161,lncipedia,lnc-C3orf70-2-1,0.02180591,0.896938319,0.845407479,0,4,0.490485432,31.7871249,0.755022673,0,24
NONHSAT093803.2,NONHSAT093803.2,lncipedia,lnc-ETV5-1-1_dup1,0.032358329,0.995223272,0.990446545,6,3,0.465435937,21.42098204,0.840297609,0,24
NONHSAT093868.2,ENST00000419745,lncipedia,lnc-RFC4-2-1,0.077663233,0.985238444,0.970476888,6,3,0.222951491,8.925036362,2.016798506,6,24
NONHSAT093929.2,NONHSAT093929.2,lncipedia,lnc-LPP-6-4_dup1,0.052761747,0.989910454,0.979820907,6,3,0.051166244,13.13730533,1.370143995,0,24
NONHSAT093955.2,ENST00000411185,lncipedia,"lnc-CLDN16-8-1_dup1,lnc-CLDN16-8-1",0.069892929,0.974690758,0.949381517,6,3,0.51647224,9.917271939,1.815015269,0,24
NONHSAT093966.2,NONHSAT093966.2,lncipedia,"lnc-PYDC2-7-1_dup1,lnc-PYDC2-7-1",0.076790312,0.885594387,0.828391581,0,4,0.785529955,9.026492588,2.65884005,0,24
NONHSAT093967.2,NONHSAT093967.2,lncipedia,"lnc-PYDC2-5-1_dup1,lnc-PYDC2-5-1",0.149020066,0.997191271,0.995786907,0,4,0.048738942,4.651368091,5.15977225,0,24
NONHSAT094032.2,ENST00000411853,lncipedia,"lnc-CPN2-6-2_dup1,lnc-CPN2-6-2",0.090392029,0.909312965,0.863969448,0,4,0.286341957,7.668233486,3.129795154,0,24
NONHSAT094076.2,NONHSAT094076.2,lncipedia,lnc-CPN2-1-10_dup1,0.042312297,0.982439663,0.964879325,6,3,0.3136598,16.38169574,1.098787347,6,24
NONHSAT094077.2,ENST00000456816,lncipedia,lnc-CPN2-1-6_dup1,0.112980755,0.976424203,0.952848406,6,3,0.066743901,6.135090735,2.933941938,6,24
NONHSAT094090.2,NONHSAT094090.2,lncipedia,lnc-GP5-4-1_dup1,0.03646175,0.855677152,0.711354305,6,3,0.847664483,19.01025518,0.946857358,0,24
NONHSAT094103.2,NONHSAT094103.2,lncipedia,lnc-FAM43A-4-7_dup1,0.141163897,0.956942341,0.913884681,0,3,0.043675268,4.910229847,4.887754901,0,24
NONHSAT094143.2,ENST00000469345,lncipedia,"lnc-ACAP2-2-1_dup1,lnc-ACAP2-2-1",0.057463338,0.942845614,0.914268421,0,4,0.43184645,12.06242455,1.989649751,0,24
NONHSAT094181.2,ENST00000425425,lncipedia,lnc-AC069257.9.1-4-27,0.084508582,0.962094689,0.943142033,0,4,0.213354066,8.202092193,2.926082692,0,24
NONHSAT094182.2,NONHSAT094182.2,lncipedia,lnc-AC069257.9.1-4-29,0.034236783,0.991602711,0.983205422,6,3,2.132396115,20.24568686,0.889078258,0,24
NONHSAT094202.2,NONHSAT094202.2,lncipedia,lnc-AC069257.9.1-4-50,0.091792121,0.997052197,0.994104395,6,3,0.488129235,7.55127099,2.38370468,0,24
NONHSAT094215.2,ENST00000595382,lncipedia,lnc-AC069257.9.1-4-60,0.025020462,0.8944162,0.788832399,6,3,0.176528059,27.70321267,0.649744137,6,24
NONHSAT094270.2,NONHSAT094270.2,lncipedia,lnc-TNK2-5-1,0.116552938,0.970062595,0.940125191,6,3,0.441026987,5.947058867,3.02670621,0,24
NONHSAT094271.2,NONHSAT094271.2,lncipedia,lnc-TNK2-2-3_dup1,0.066044839,0.92578163,0.888672446,0,4,0.5719142,10.49509981,2.286781491,0,24
NONHSAT094272.2,NONHSAT094272.2,lncipedia,lnc-TFRC-1-4_dup1,0.049659239,0.893383562,0.786767124,6,3,0.972465229,13.95807089,1.289576485,0,24
NONHSAT094280.2,NONHSAT094280.2,lncipedia,lnc-TNK2-7-8,0.033274176,0.987471616,0.974943232,6,3,3.17466245,20.83138554,0.864080786,6,24
NONHSAT094327.2,NONHSAT094327.2,lncipedia,lnc-AC069257.9.1-3-4_dup1,0.090596855,0.999592456,0.999184913,6,3,0.048896991,7.65089671,2.352665404,6,24
NONHSAT094339.2,NONHSAT094339.2,lncipedia,"lnc-FBXO45-5-1_dup1,lnc-FBXO45-5-1",0.120299656,0.916300197,0.832600393,0,3,0.050170902,5.76183845,2.082668597,0,12
NONHSAT094344.2,NONHSAT094344.2,PMID22140575,brain_Pred31286,0.235684887,0.952231664,0.928347496,0,4,0.02381952,2.94099121,8.160514018,0,24
NONHSAT094414.2,NONHSAT094414.2,lncipedia,lnc-BDH1-5-11_dup1,0.052925341,0.994739877,0.989479754,6,3,1.047746175,13.09669748,1.374392287,6,24
NONHSAT094428.2,NONHSAT094428.2,lncipedia,lnc-KIAA0226-2-3_dup1,0.073895262,0.92806922,0.856138441,6,3,0.663836499,9.380130164,1.918949917,6,24
NONHSAT094430.2,NONHSAT094430.2,lncipedia,lnc-KIAA0226-3-1,0.085827864,0.992534868,0.985069736,6,3,0.191941047,8.076015693,2.22882182,0,24
NONHSAT094437.2,ENST00000424493,lncipedia,lnc-KIAA0226-1-1,0.042155908,0.893786216,0.787572432,6,3,0.040363271,16.44246829,1.09472615,0,24
NONHSAT094608.2,NONHSAT094608.2,lncipedia,"lnc-MYL5-3-1_dup1,lnc-MYL5-3-1",0.064749184,0.903528607,0.807057213,6,3,1.460299684,10.70511072,1.681439872,6,24
NONHSAT094609.2,NONHSAT094609.2,lncipedia,lnc-CPLX1-2-10,0.021789515,0.999066896,0.998133792,6,3,1.430998295,31.81104178,0.565841261,0,24
NONHSAT094614.2,ENST00000507446,lncipedia,lnc-CPLX1-2-4_dup1,0.029639685,0.976135732,0.952271465,6,3,7.803762647,23.38578084,0.769698481,0,24
NONHSAT094623.2,ENST00000568585,lncipedia,"lnc-CPLX1-1-1_dup1,lnc-CPLX1-1-1",0.159522015,0.975598446,0.951196893,0,3,0.07354649,4.34515061,2.761699439,0,12
