noncode,lncrna_id,lncrna_source,lncrna_name,lambda.z,r.squared,adj.r.squared,lambda.z.time.first,lambda.z.n.points,clast.pred,half.life,span.ratio,tmax,tlast
NONHSAT102257.2,NONHSAT102257.2,lncipedia,"lnc-WDR41-4-1_dup1,lnc-WDR41-4-1",0.070041965,0.983277209,0.966554419,6,3,1.507587378,9.896169783,1.818885528,6,24
NONHSAT102417.2,NONHSAT102417.2,lncipedia,"lnc-MSH3-1-2,lnc-MSH3-1-1",0.03257349,0.992507016,0.985014031,6,3,0.1193091,21.27948804,0.845885012,6,24
NONHSAT102445.2,ENST00000510537,lncipedia,lnc-ACOT12-7-1,0.035220957,0.911330175,0.822660351,6,3,0.544206928,19.67996422,0.914635809,0,24
NONHSAT105806.2,NONHSAT105806.2,lncipedia,lnc-MGAT1-1-1,0.03485543,0.991440164,0.982880328,6,3,0.520856365,19.88634718,0.905143606,6,24
NONHSAT106799.2,NONHSAT106799.2,lncipedia,lnc-SERPINB9-1-4_dup1,0.036862235,0.943947435,0.887894871,0,3,0.073363276,18.80372104,1.276343121,0,24
NONHSAT106824.2,NONHSAT106824.2,lncipedia,lnc-SERPINB9-3-1_dup1,0.03836544,0.926844352,0.853688703,6,3,0.541405967,18.06696826,0.996293331,0,24
NONHSAT108435.2,ENST00000600652,lncipedia,lnc-ZKSCAN4-1-4_dup1,0.070399046,0.992011715,0.984023431,6,3,0.031989615,9.845974006,1.828158391,6,24
NONHSAT112124.2,NONHSAT112124.2,lncipedia,"lnc-NUDT3-1-2_dup1,lnc-NUDT3-1-2",0.085853871,0.987751834,0.975503668,6,3,0.058182184,8.073569378,2.22949716,6,24
NONHSAT113090.2,ENST00000416077,lncipedia,"lnc-PKHD1-2-1_dup1,lnc-PKHD1-2-1",0.068876069,0.998384354,0.996768709,6,3,4.90459244,10.06368677,1.788608928,6,24
NONHSAT113497.2,NONHSAT113497.2,lncipedia,lnc-B3GAT2-3-12_dup1,0.029123383,0.994751871,0.989503741,6,3,0.091901391,23.8003664,0.756290878,6,24
NONHSAT113844.2,NONHSAT113844.2,lncipedia,lnc-SNX14-3-1_dup1,0.015188014,0.92279591,0.84559182,6,3,0.402326736,45.63777453,0.394410117,6,24
