RBP,have_motif,have_mean,no_motif,no_mean,D,p,fdr
A1CF,4154,4.264149235,8311,4.105869274,0.049941006,2.00E-06,0.000357942
PABPN1,7838,4.260952562,4627,3.985262434,0.048654422,2.08E-06,0.000372854
HNRNPH1*,11839,4.162906199,626,4.077490378,0.107212664,2.32E-06,0.000414716
HNRNPH2*,11839,4.162906199,626,4.077490378,0.107212664,2.32E-06,0.000414716
ELAVL3,8773,4.273068438,3692,3.88665386,0.051174508,2.46E-06,0.000439723
ZNF346,10265,4.18995258,2200,4.012405558,0.061046362,2.73E-06,0.000489201
PUM2,2110,4.351279281,10355,4.119358395,0.061976608,2.84E-06,0.000507978
QKI,8082,4.230327217,4383,4.026386241,0.048541718,3.05E-06,0.000546561
QKI*,5237,4.180901543,7228,4.142470127,0.046908602,3.14E-06,0.000562184
HNRNPA0,8926,4.254693585,3539,3.916292884,0.051333602,3.17E-06,0.000566782
HNRNPLL,7030,4.186468435,5435,4.122591051,0.046589397,3.33E-06,0.000595531
ESRP1,3796,4.171183926,8669,4.15311354,0.050116198,3.48E-06,0.000623065
ZRANB2,10960,4.174877544,1505,4.040197724,0.07056921,3.78E-06,0.000675902
TRA2B*,3738,4.323884753,8727,4.08782792,0.049544034,5.26E-06,0.000942337
FUS,11639,4.192737019,826,3.677832076,0.091053977,5.58E-06,0.000999445
SRSF6,11078,4.171250054,1387,4.05771259,0.071781949,6.08E-06,0.00108904
PUM1,4378,4.310891076,8087,4.076180825,0.047270029,6.14E-06,0.001099707
TARDBP*,2365,4.15685229,10100,4.159029683,0.05668432,8.97E-06,0.001606098
HNRNPD,10129,4.204219467,2336,3.96088034,0.056219588,1.23E-05,0.00220138
PPRC1,3196,4.245607281,9269,4.128621706,0.050068351,1.34E-05,0.002394123
PTBP2,4969,4.200426268,7496,4.130901459,0.044587542,1.38E-05,0.002476893
F2,11496,4.178242757,969,3.925775779,0.081508227,1.39E-05,0.002494038
RBM4,4172,4.198793179,8293,4.138404717,0.046037481,1.55E-05,0.002780456
RBFOX1,5850,4.158639911,6615,4.158595916,0.043068783,1.99E-05,0.003564567
RBFOX2,3834,4.162474864,8631,4.156902657,0.045892549,2.78E-05,0.004982248
HNRNPC,10337,4.213973197,2128,3.889715473,0.055900323,3.25E-05,0.005808841
ZC3H10,3012,4.197649813,9453,4.146179438,0.048106948,5.12E-05,0.009168576
OAS1,11663,4.17394245,802,3.935741478,0.083681198,5.46E-05,0.009765766
CNOT4,4840,4.232030784,7625,4.112016586,0.041810188,6.39E-05,0.011440645
HNRNPA1L2,3915,4.181966658,8550,4.147924678,0.04380453,6.69E-05,0.011973303
DAZAP1,9791,4.20517869,2674,3.988126741,0.049277812,7.43E-05,0.013297967
U2AF2,9186,4.217603408,3279,3.99336705,0.045719958,8.20E-05,0.014673736
RBM46,9031,4.210924837,3434,4.021052202,0.044790522,9.24E-05,0.016537534
TARDBP,8658,4.160687363,3807,4.153907085,0.042460355,0.000144603,0.025883975
KHDRBS2,7331,4.258152262,5134,4.01648641,0.039249412,0.0001823,0.032631778
YBX2,4269,4.220601715,8196,4.126330739,0.040439486,0.000206011,0.036876021
SFPQ,11416,4.180467842,1049,3.920814663,0.068443651,0.000246559,0.044134052
NOVA1 ,11134,4.165407157,1331,4.101812306,0.060776468,0.000306666,0.054893169
AGO1,7835,4.166965844,4630,4.144487705,0.038054584,0.000436917,0.078208114
PCBP2,11970,4.170957122,495,3.860199424,0.093719146,0.000472727,0.084618182
YTHDC1,11994,4.174863005,471,3.744901453,0.0957278,0.000493995,0.088425145
FXR1,4689,4.196328828,7776,4.135875719,0.036630994,0.000779476,0.139526284
RBFOX1*,4031,4.20589746,8434,4.136018829,0.037916663,0.000785517,0.140607536
RBFOX2*,4031,4.20589746,8434,4.136018829,0.037916663,0.000785517,0.140607536
SRSF4,1119,4.288020276,11346,4.145854114,0.061771601,0.000841903,0.150700565
AKAP1,1113,4.195294814,11352,4.155020466,0.060994987,0.001060542,0.189837103
GRSF1,12085,4.166504213,380,3.907768549,0.100859047,0.001111214,0.198907278
NUDT21,10898,4.172847188,1567,4.059646976,0.052169429,0.001154344,0.206627665
SRP19,12190,4.162851678,275,3.970885469,0.115203222,0.001587978,0.284248109
ERI1,11582,4.175300603,883,3.939777893,0.064778047,0.002044938,0.366043952
RBM25,2213,4.006311418,10252,4.191493201,0.043468048,0.002060214,0.368778357
SRP54,12309,4.161224183,156,3.952865324,0.149354444,0.002071551,0.370807601
HNRNPH3,12286,4.167816828,179,3.527139172,0.138758109,0.00224122,0.40117843
HNRNPF,12286,4.167786543,179,3.529217833,0.138758109,0.00224122,0.40117843
RBM14,1840,4.20046815,10625,4.151368853,0.046485422,0.002276514,0.407496066
XPO5,11840,4.170208333,625,3.939022086,0.074846622,0.002584393,0.462606341
SRSF6*,1352,4.156844431,11113,4.15883216,0.052337353,0.002711435,0.485346804
HNRNPAB,3269,4.203627931,9196,4.142615893,0.036885543,0.00282493,0.505662466
SUPV3L1,3002,4.127944977,9463,4.168346681,0.037653435,0.003122433,0.558915441
RBM6,4805,4.272135896,7660,4.087407635,0.032979544,0.003247015,0.581215641
ZFP36L2,909,4.322780426,11556,4.145703362,0.060024538,0.004610853,0.825342601
KHDRBS1,11127,4.179792179,1338,3.982517108,0.05029982,0.004745403,0.849427072
SRSF1,12375,4.157949691,90,4.250311472,0.083717172,0.558297249,1
HNRNPL,12443,4.159375546,22,3.729343085,0.233807983,0.181107653,1
IGF2BP3,11472,4.16946944,993,4.033234694,0.053964045,0.009758749,1
PTBP1,12465,4.158616563,0,NaN,0,1,1
SRSF2,12307,4.162157391,158,3.882812973,0.112897055,0.037498202,1
HNRNPA1,12304,4.160445059,161,4.01887859,0.037856699,0.976672811,1
MBNL1,12368,4.158841004,97,4.129999232,0.144704158,0.035526727,1
SRSF9,12431,4.159594868,34,3.800930953,0.275809527,0.011498205,1
ELAVL2,12288,4.159555314,177,4.093445002,0.0699856,0.35985742,1
TIA1,12395,4.158878042,70,4.112316215,0.092180027,0.595189028,1
SRP68,12352,4.160053917,113,4.001499844,0.126180705,0.056555626,1
HNRNPK,11644,4.164635229,821,4.073255603,0.060250903,0.007635145,1
PPIE,11680,4.170172625,785,3.986674136,0.041425814,0.160098647,1
SRSF5,12442,4.158501259,23,4.22099128,0.163943306,0.567873309,1
CELF1,11777,4.170581703,688,3.953800498,0.044630251,0.150048455,1
CELF2,12106,4.166485983,359,3.893248342,0.054335266,0.254705001,1
ZFP36,12389,4.162173442,76,3.578798609,0.103274977,0.396081548,1
HNRNPH2,12411,4.161999535,54,3.3810968,0.150095346,0.17726659,1
IGF2BP2,10386,4.16004481,2079,4.151481512,0.033731722,0.038818107,1
KHSRP,12428,4.157963986,37,4.37781194,0.127941266,0.581841356,1
TIAL1,12310,4.164042321,155,3.727706396,0.093744923,0.135660049,1
YBX1,12298,4.160093206,167,4.049875506,0.090396374,0.135351523,1
NOVA1,12461,4.159374079,4,1.798764334,0,1,1
RBMX,11971,4.166627973,494,3.96447773,0.039771891,0.440929132,1
HNRNPH1,12411,4.161999535,54,3.3810968,0.150095346,0.17726659,1
TRA2B,11819,4.164853781,646,4.044502508,0.065559417,0.010335933,1
SRSF3,12084,4.157101589,381,4.20666631,0.053039485,0.249838114,1
G3BP1,93,4.124890631,12372,4.15887008,0.067595403,0.792895004,1
ELAVL1,11798,4.164316977,667,4.057786758,0.057121592,0.032496495,1
ELAVL4,11410,4.174014052,1055,3.992090164,0.045666269,0.035627087,1
RBM8A,2740,4.091511311,9725,4.177523339,0.034384816,0.012756195,1
NOVA2,12140,4.163662817,325,3.970119576,0.079335952,0.037201196,1
IGF2BP1,1,4.373931974,12464,4.158599288,0,1,1
ANKHD1,1104,4.090334787,11361,4.165251814,0.043069253,0.047841262,1
CSTF2,1035,4.120323912,11430,4.162084008,0.054429609,0.007225074,1
NELFE,76,3.928350729,12389,4.160029123,0.07518448,0.786662702,1
SSB,12120,4.156585367,345,4.229973361,0.063298178,0.135980293,1
NXF1,12266,4.153477188,199,4.475398328,0.085744227,0.11231586,1
HNRNPA3,10,6.457958239,12455,4.156770444,0,1,1
RBMS1,2647,4.267643366,9818,4.129222191,0.033349269,0.019363026,1
RNASEL,11243,4.162071874,1222,4.126826011,0.040863324,0.050397844,1
RC3H1,11479,4.178941041,986,3.921999246,0.056197692,0.006459869,1
RBM42,1126,4.250868712,11339,4.149455621,0.045945343,0.026480815,1
SNRPB2,13,3.010519398,12452,4.159815187,0.21934073,0.559785877,1
HNRNPLL*,16,3.302605432,12449,4.159716746,0.142456221,0.901960087,1
