noncode,lncrna_id,lncrna_source,lncrna_name,lambda.z,r.squared,adj.r.squared,lambda.z.time.first,lambda.z.n.points,clast.pred,half.life,span.ratio,tmax,tlast
NONHSAT000090.2,ENST00000457540,lncipedia,lnc-AL669831.1-14-1,0.102630093,0.808499867,0.712749801,0,4,1.356675382,6.753839521,3.553534242,0,24
NONHSAT002270.2,NONHSAT002270.2,lncipedia,"lnc-ZNF362-3-1_dup1,lnc-ZNF362-3-1",0.080524427,0.971055384,0.942110768,6,3,0.616268888,8.607911957,2.091099455,0,24
NONHSAT002571.2,NONHSAT002571.2,lncipedia,lnc-PABPC4-1-14_dup1,0.015286153,0.946056377,0.892112754,6,3,4.057191544,45.3447755,0.396958631,0,24
NONHSAT004238.2,NONHSAT004238.2,lncipedia,"lnc-C1orf52-2-1_dup1,lnc-C1orf52-2-1",0.047136082,0.984381668,0.976572502,0,4,0.374428132,14.70523525,1.632071816,0,24
NONHSAT004836.2,ENST00000451213,lncipedia,lnc-SLC30A7-2-7_dup1,0.053993787,0.889660518,0.834490776,0,4,1.310274318,12.83753593,1.869517649,0,24
NONHSAT005528.2,ENST00000425884,lncipedia,lnc-HAO2-2-17,0.035052566,0.946468713,0.91970307,0,4,1.717861966,19.77450608,1.213683917,0,24
NONHSAT005572.2,NONHSAT005572.2,lncipedia,"lnc-ZNF697-2-1_dup1,lnc-ZNF697-2-1",0.05518836,0.886424723,0.772849445,6,3,0.834925924,12.55966263,1.433159514,0,24
NONHSAT006310.2,NONHSAT006310.2,lncipedia,lnc-MCL1-2-1,0.036890658,0.950439352,0.900878705,6,3,1.304132119,18.78923315,0.957995457,0,24
NONHSAT007713.2,NONHSAT007713.2,lncipedia,"lnc-RC3H1-2-1_dup1,lnc-RC3H1-2-1",0.028039549,0.95552939,0.933294085,0,4,7.420597823,24.72033959,0.970860449,0,24
NONHSAT007718.2,ENST00000421851,lncipedia,lnc-SERPINC1-3-1_dup1,0.105622867,0.993004246,0.989506369,0,4,0.121601127,6.562472719,3.65715806,0,24
NONHSAT007719.2,NONHSAT007719.2,lncipedia,lnc-SERPINC1-3-2_dup1,0.132788015,0.988416743,0.976833486,6,3,0.489229352,5.219952889,3.448306983,0,24
NONHSAT008415.2,ENST00000623474,lncipedia,"lnc-IVNS1ABP-3-1_dup1,lnc-IVNS1ABP-3-1",0.059922151,0.861687986,0.792531979,0,4,1.551178151,11.56746161,2.07478536,0,24
