RBP,have_motif,have_mean,no_motif,no_mean,D,p,fdr
RBM14,6892,6.727506686,16999,6.243770457,0.054343899,5.27E-13,9.44E-11
SRSF2,19308,6.18324886,4583,7.226197055,0.061859033,9.79E-13,1.75E-10
SRSF1*,2559,5.386198437,21332,6.502932134,0.077862208,1.86E-12,3.33E-10
HNRNPC*,2559,5.386198437,21332,6.502932134,0.077862208,1.86E-12,3.33E-10
CELF4,3175,5.557835301,20716,6.509833124,0.070746975,2.15E-12,3.85E-10
PUM1,751,4.897312357,23140,6.431544879,0.135766946,4.52E-12,8.09E-10
RBMS3,1252,5.310504498,22639,6.442646692,0.10618833,4.80E-12,8.59E-10
F2,15725,6.141030507,8166,6.849880647,0.049786205,5.36E-12,9.60E-10
HNRNPCL1,1978,5.29102083,21913,6.481914429,0.085119401,7.65E-12,1.37E-09
ZNF346,10193,5.965586674,13698,6.694160105,0.047013747,1.21E-11,2.16E-09
FXR2,7241,5.877486745,16650,6.603300214,0.049563318,3.42E-11,6.12E-09
ERI1,17400,6.175215711,6491,6.9411611,0.050888055,4.65E-11,8.33E-09
SNRNP70,1081,5.121348938,22810,6.443123712,0.108471665,5.66E-11,1.01E-08
CELF5,1778,5.454039984,22113,6.458035861,0.085770974,6.10E-11,1.09E-08
RBM3,1774,5.549113202,22117,6.450228479,0.084665981,1.19E-10,2.13E-08
PABPC4,984,5.138117414,22907,6.436806328,0.111242933,1.44E-10,2.59E-08
HNRNPF*,12422,6.046460048,11469,6.748164911,0.043959118,1.96E-10,3.51E-08
CPEB2,1415,5.214036076,22476,6.456930461,0.091855592,3.51E-10,6.28E-08
ZCRB1,1097,5.17361544,22794,6.441536104,0.102116183,6.63E-10,1.19E-07
RBFOX1*,1596,5.41733087,22295,6.452467818,0.085453823,7.15E-10,1.28E-07
RBFOX2*,1596,5.41733087,22295,6.452467818,0.085453823,7.15E-10,1.28E-07
GRSF1,19081,6.217416046,4810,7.041437527,0.052830569,9.72E-10,1.74E-07
CELF6,2883,5.570516325,21008,6.494860602,0.06489971,1.06E-09,1.90E-07
TRA2B*,824,5.114284619,23067,6.428649567,0.11373964,2.30E-09,4.11E-07
LIN28A,6714,5.843841124,17177,6.594182964,0.045544533,4.02E-09,7.19E-07
ESRP2,3926,5.69151061,19965,6.519356846,0.055043741,4.64E-09,8.31E-07
KHDRBS2,1605,5.314626372,22286,6.460282453,0.081222247,5.27E-09,9.44E-07
DDX19B,1454,5.16548799,22437,6.462236954,0.084407731,7.09E-09,1.27E-06
EIF4A3,1454,5.16548799,22437,6.462236954,0.084407731,7.09E-09,1.27E-06
HNRNPAB,448,4.794461659,23443,6.41368047,0.148739762,7.14E-09,1.28E-06
SRP14,16683,6.18391058,7208,6.844845986,0.043908426,7.45E-09,1.33E-06
RALY,1277,5.122420138,22614,6.454519305,0.0890267,9.54E-09,1.71E-06
RBFOX2,825,5.122098588,23066,6.428427068,0.109046189,1.19E-08,2.12E-06
HNRNPU,2135,5.576744748,21756,6.462469206,0.068595812,2.26E-08,4.05E-06
ESRP1,1194,5.391125589,22697,6.435512452,0.0897064,2.36E-08,4.22E-06
RBFOX1,2285,5.494501148,21606,6.477316253,0.06582522,3.34E-08,5.98E-06
SNRPA,1114,5.335581781,22777,6.434560828,0.090521565,5.52E-08,9.88E-06
RBM41,1121,5.259612096,22770,6.438638776,0.089408454,7.63E-08,1.37E-05
SRSF9,21851,6.308664115,2040,7.18294633,0.067533567,8.12E-08,1.45E-05
YBX2,1045,5.1513351,22846,6.439669303,0.091250088,1.19E-07,2.12E-05
FXR1,1804,5.454524105,22087,6.459178186,0.070415226,1.31E-07,2.35E-05
SYNCRIP,1264,5.35263932,22627,6.440893357,0.083017873,1.36E-07,2.44E-05
MATR3,925,5.625442515,22966,6.413842017,0.096099569,1.47E-07,2.64E-05
RBM8A,6703,6.587350034,17188,6.303748127,0.041262781,1.48E-07,2.64E-05
SF1*,1966,5.544569152,21925,6.458527121,0.065793565,3.29E-07,5.89E-05
PTBP2,2302,5.773249805,21589,6.448367642,0.060053671,6.09E-07,0.000109055
YTHDC1,17553,6.234984247,6338,6.794123003,0.040123311,6.16E-07,0.000110266
FUS,15615,6.195678836,8276,6.737349572,0.036892537,8.06E-07,0.000144276
EIF4B,2576,5.653165916,21315,6.471558747,0.055490367,1.43E-06,0.000255342
TUT1,536,5.155768271,23355,6.411489544,0.115592318,1.66E-06,0.000297014
G3BP2,2144,5.676259853,21747,6.453024737,0.059889951,1.66E-06,0.00029769
IGHMBP2,649,5.244790396,23242,6.415108903,0.103358194,2.77E-06,0.000495863
NOVA1,22200,6.30541744,1691,7.406010006,0.064584126,4.06E-06,0.000726196
A1CF,539,5.200454673,23352,6.410619434,0.106302528,1.35E-05,0.002414448
HNRNPH3*,19023,6.24109269,4868,6.939096925,0.038554386,1.98E-05,0.00354343
KHSRP,21292,6.297298755,2599,7.088012696,0.049549777,2.30E-05,0.004114787
FMR1,13588,6.200175901,10303,6.624851009,0.03074408,3.09E-05,0.005533865
HNRNPH1*,19470,6.248573934,4421,6.976723725,0.038894328,3.69E-05,0.006603376
HNRNPH2*,19470,6.248573934,4421,6.976723725,0.038894328,3.69E-05,0.006603376
QKI*,3796,5.938265533,20095,6.46738861,0.040644006,5.25E-05,0.009388561
HNRNPH1,22333,6.327568809,1558,7.182436372,0.060007305,5.57E-05,0.009970856
HNRNPH2,22324,6.327568669,1567,7.177528475,0.059776812,5.71E-05,0.010218308
SRP68,21125,6.308822959,2766,6.952257796,0.045320138,8.66E-05,0.015510317
PHAX,5569,5.969476984,18322,6.509104506,0.033895434,0.000109406,0.019583601
RBM28,1157,5.772277212,22734,6.414414769,0.066645673,0.000113118,0.020248168
RBM42,272,4.965481398,23619,6.399645165,0.128191131,0.000290296,0.051962987
IFIH1,14975,6.446382808,8916,6.277394295,0.02797017,0.000318749,0.057056048
CSTF2,155,4.368633947,23736,6.396473366,0.164846646,0.000463702,0.083002664
HNRNPM,1502,5.567310108,22389,6.438060221,0.054467315,0.000472014,0.084490527
SRP54,21080,6.307147552,2811,6.954521412,0.04048032,0.00058997,0.105604647
SRP19,21229,6.297402799,2662,7.068469596,0.039967495,0.001044922,0.187041122
TARDBP*,569,5.832972696,23322,6.396744217,0.080805379,0.001415229,0.253325972
HNRNPH3,21596,6.322140849,2295,6.958987494,0.041788381,0.001426888,0.255412943
PTBP1,23176,6.362565176,715,7.055971413,0.072256687,0.001430856,0.256123193
RBM4,6188,6.512851902,17703,6.338038892,0.027801293,0.001670156,0.298957851
SRSF4,499,5.580139379,23392,6.400450604,0.083233755,0.002296324,0.411042009
SUPV3L1,6316,6.525383863,17575,6.332262054,0.026175073,0.003435912,0.615028187
RBMS1,286,5.386251517,23605,6.395397676,0.10294681,0.005009769,0.896748605
SRSF1,22793,6.384032365,1098,6.368470289,0.031852723,0.238303829,1
SRSF6,18008,6.343349961,5883,6.505657656,0.012276014,0.51599654,1
MBNL1,21860,6.355885326,2031,6.678570582,0.022681961,0.294600966,1
AKAP1,50,4.282516192,23841,6.38772301,0.201778449,0.034396817,1
MSI1,1352,6.203473092,22539,6.394105083,0.035917001,0.074441092,1
SRSF5,22647,6.380681288,1244,6.431303019,0.040187318,0.044342605,1
HNRNPF,21722,6.33472157,2169,6.869989921,0.034264255,0.019497725,1
G3BP1,73,5.394566356,23818,6.386347583,0.077989825,0.767903935,1
PUM2,142,4.7060154,23749,6.393346073,0.138291961,0.009041088,1
SAMD4A,8266,6.205892302,15625,6.477179156,0.016538232,0.1039078,1
IGF2BP1,0,NaN,23891,6.383317152,0,1,1
ANKHD1,532,5.764351981,23359,6.397414051,0.052677205,0.111496538,1
ZNF638,2493,6.055839105,21398,6.42147038,0.031218414,0.025755818,1
NELFE,14,8.463478027,23877,6.382097474,0.236252461,0.415603426,1
ZC3H10,6681,6.270482317,17210,6.427120146,0.014564923,0.258996491,1
HNRNPA3,21,4.941972461,23870,6.384585197,0.195349811,0.399936601,1
ZFP36L2,58,4.995004739,23833,6.38669575,0.115952671,0.418063952,1
HNRNPA1L2,972,5.735189264,22919,6.410804403,0.055338339,0.006618926,1
RBM25,2403,6.008796471,21488,6.425199747,0.03213314,0.02304953,1
AGO2,249,5.330255436,23642,6.394408108,0.107034856,0.007064257,1
SRSF6*,1718,6.376986463,22173,6.383807664,0.027446227,0.180903491,1
XPO5,19731,6.381188719,4160,6.393412373,0.018336469,0.19826783,1
SNRPB2,1,17.1694674,23890,6.38286566,0,1,1
HNRNPLL*,12,3.938586891,23879,6.384545711,0.247375658,0.45516984,1
