RBP,have_motif,have_mean,no_motif,no_mean,D,p,fdr
SRSF2*,15577,6.007448903,8314,7.087538913,0.076251611,0,0
HNRNPL,20315,6.194312468,3576,7.457039234,0.090424348,0,0
IGF2BP3,9112,5.544704952,14779,6.900363932,0.095741221,0,0
HNRNPLL,2206,5.096603704,21685,6.514213618,0.110104268,0,0
HNRNPA1,17905,6.148862267,5986,7.084605945,0.068633905,0,0
HNRNPD,5179,5.629722662,18712,6.591892711,0.074433331,0,0
NUDT21,6347,5.573631567,17544,6.67624205,0.07707029,0,0
QKI,2389,5.212467548,21502,6.513405502,0.102016579,0,0
PCBP2,16940,6.036943361,6951,7.227450661,0.082665019,0,0
ELAVL2,16409,6.055629775,7482,7.101978228,0.080539536,0,0
HNRNPA2B1,4103,5.626682872,19788,6.540203672,0.078474149,0,0
TIA1,19171,6.18692813,4720,7.180981125,0.074883486,0,0
SF1,3447,5.329401298,20444,6.561014665,0.088060406,0,0
HNRNPK,14471,5.964791871,9420,7.026255512,0.065915035,0,0
PPIE,9367,5.508328867,14524,6.947625557,0.104751435,0,0
CELF1,11781,5.841622861,12110,6.910294893,0.074817687,0,0
CELF2,13992,5.965471321,9899,6.973932252,0.070937546,0,0
ZFP36,18842,6.133446205,5049,7.315792569,0.082510903,0,0
IGF2BP2,5856,5.273213319,18035,6.743770052,0.105833129,0,0
ENOX1,3353,5.342505498,20538,6.553238346,0.092664628,0,0
PCBP1,9213,5.79785462,14678,6.750796803,0.064130435,0,0
TIAL1,16734,6.037203802,7157,7.192575333,0.086275268,0,0
YBX1,18395,6.140520046,5496,7.19595412,0.07880187,0,0
PABPC1,4751,5.263908376,19140,6.661180846,0.107130105,0,0
RBMX,12718,5.826830933,11173,7.016754164,0.080564538,0,0
KHDRBS3,3080,5.329984272,20811,6.539209001,0.0887637,0,0
RBM46,4369,5.474590003,19522,6.586689189,0.099420485,0,0
TRA2B,13488,5.827582923,10403,7.103853851,0.095262857,0,0
SRSF3,14678,5.897281899,9213,7.15766052,0.094100741,0,0
SRSF10,10115,5.708743274,13776,6.878621651,0.084558874,0,0
HNRNPC,5779,5.494016107,18112,6.667066641,0.086216183,0,0
ELAVL1,11680,5.778033871,12211,6.962279459,0.084515316,0,0
DAZAP1*,4358,5.551066092,19533,6.569000361,0.084319092,0,0
ELAVL4,8770,5.619906206,15121,6.826086413,0.085791257,0,0
NOVA2,14468,5.936975518,9423,7.068626582,0.077886584,0,0
PABPN1,4308,5.403396691,19583,6.598886643,0.096817164,0,0
KHDRBS1,7051,5.49180336,16840,6.756598847,0.090662011,0,0
CPEB1,3111,5.377693763,20780,6.533870298,0.089405658,0,0
PABPC3,1530,5.112402218,22361,6.470276584,0.122786025,0,0
SSB,14362,5.916255681,9529,7.087266868,0.081361503,0,0
SART3,1919,5.273933769,21972,6.480208956,0.11223425,0,0
TARDBP,4606,5.417610683,19285,6.613965013,0.089561631,0,0
DHX9,18432,6.579486039,5459,5.720964173,0.084792532,0,0
HNRNPA0,3406,5.485378823,20485,6.532615563,0.086327893,0,0
ELAVL3,2827,5.309679404,21064,6.527410103,0.091893424,0,0
OAS1,11021,5.808837028,12870,6.875263185,0.076672083,0,0
NXF1,19185,6.157068193,4706,7.305668677,0.081914138,0,0
RBMY1A1,5333,5.325327791,18558,6.687350844,0.10453646,0,0
RNASEL,8526,5.49222899,15365,6.87777974,0.10378908,0,0
ACO1,6386,5.682849167,17505,6.638854916,0.075254325,0,0
U2AF2,3768,5.395863764,20123,6.568216241,0.08760763,0,0
NOVA1 ,9942,5.728110881,13949,6.850308388,0.079566562,0,0
RC3H1,11921,5.981943064,11970,6.783048188,0.057638861,0,0
DDX58,18428,6.588995233,5463,5.689516003,0.088876723,0,0
PIWIL1,12873,5.992717869,11018,6.839678068,0.064568424,0,0
TRA2A,5674,5.305767834,18217,6.71893854,0.102694122,0,0
CMTR1,9094,5.699408819,14797,6.803636297,0.083407181,0,0
YBX1*,4358,5.551066092,19533,6.569000361,0.084319092,0,0
HNRNPA2B1*,4358,5.551066092,19533,6.569000361,0.084319092,0,0
CPEB4,3684,5.424137789,20207,6.558188077,0.087002859,0,0
ADAR,17049,6.574573585,6842,5.906741455,0.070157986,0,0
RBM5,9977,5.864444976,13914,6.755373189,0.056721908,1.11E-16,1.99E-14
HNRNPA1*,8185,5.906246371,15706,6.631937065,0.05848987,2.22E-16,3.97E-14
RBM6,1402,5.039395279,22489,6.467099377,0.117327355,3.33E-16,5.96E-14
SRSF7,4961,5.647947507,18930,6.576036054,0.067748448,4.44E-16,7.95E-14
RBM24,4210,5.56439105,19681,6.558495186,0.072020255,4.44E-16,7.95E-14
DAZAP1,4612,5.679205973,19279,6.551757463,0.067811563,2.78E-15,4.97E-13
NONO,7639,5.844477249,16252,6.636590474,0.056521643,7.66E-15,1.37E-12
PPRC1,10104,6.671577036,13787,6.172061776,0.05331539,7.99E-15,1.43E-12
PABPC5,1422,5.066729067,22469,6.46664032,0.109555882,2.29E-14,4.09E-12
SFPQ,12170,5.994476113,11721,6.787053647,0.051500572,3.52E-14,6.30E-12
HNRNPDL,5954,5.859249681,17937,6.557275881,0.058993886,6.14E-14,1.10E-11
ZRANB2,10337,5.990837692,13554,6.682642826,0.051482011,6.32E-14,1.13E-11
AGO1,3722,5.4228626,20169,6.560560042,0.069734694,1.07E-13,1.91E-11
DHX58,10313,6.685921559,13578,6.153477761,0.05073653,1.57E-13,2.81E-11
SRSF11,2632,5.349862218,21259,6.511265475,0.080184813,1.67E-13,2.98E-11
CNOT4,1885,5.174706409,22006,6.486844883,0.091800428,3.91E-13,6.99E-11
