noncode,lncrna_id,lncrna_source,lncrna_name,lambda.z,r.squared,adj.r.squared,lambda.z.time.first,lambda.z.n.points,clast.pred,half.life,span.ratio,tmax,tlast
NONHSAT016878.2,NONHSAT016878.2,lncipedia,lnc-ZRANB1-2-2_dup1,0.106836512,0.975001444,0.950002887,6,3,0.14212166,6.487924066,2.774385122,6,24
NONHSAT017023.2,NONHSAT017023.2,lncipedia,lnc-GLRX3-2-1_dup1,0.05034626,0.987857802,0.975715605,0,3,0.226199609,13.76760031,0.87161159,0,12
NONHSAT017198.2,NONHSAT017198.2,lncipedia,"lnc-SIRT3-2-1_dup1,lnc-SIRT3-2-1",0.032573489,0.992507017,0.985014034,6,3,0.079675133,21.27948841,0.845884998,6,24
NONHSAT017262.2,NONHSAT017262.2,lncipedia,lnc-PTDSS2-1-2,0.052498305,0.945930691,0.891861381,6,3,0.062058948,13.20322974,1.363302794,6,24
NONHSAT017272.2,ENST00000527620,lncipedia,lnc-RASSF7-1-1_dup1,0.024536727,0.902869808,0.805739616,6,3,0.296134747,28.24937403,0.63718226,6,24
NONHSAT017313.2,NONHSAT017313.2,lncipedia,lnc-PDDC1-1-1,0.091351186,0.854972138,0.709944276,6,3,0.12747873,7.58771955,2.372254256,6,24
NONHSAT017318.2,ENST00000526588,lncipedia,lnc-TALDO1-1-3,0.070399046,0.992011715,0.98402343,6,3,0.237778478,9.845974091,1.828158376,0,24
NONHSAT017351.2,NONHSAT017351.2,lncipedia,lnc-CHID1-1-2,0.032565803,0.99260807,0.985216141,6,3,0.076629413,21.2845106,0.845685406,0,24
NONHSAT017897.2,ENST00000532599,lncipedia,lnc-AKIP1-1-2_dup1,0.027675562,0.852708117,0.779062176,0,4,0.450220532,25.04546004,0.958257503,0,24
NONHSAT017937.2,ENST00000525154,lncipedia,lnc-SBF2-2-3_dup1,0.040649161,0.996952301,0.993904601,6,3,0.361620583,17.05194327,1.055598164,0,24
NONHSAT018001.2,NONHSAT018001.2,lncipedia,lnc-CTR9-3-10_dup1,0.044990114,0.981231759,0.962463517,6,3,2.819082114,15.40665543,1.168326252,6,24
NONHSAT018007.2,NONHSAT018007.2,lncipedia,lnc-ZBED5-1-2_dup1,0.086392258,0.889214319,0.778428638,6,3,0.286126797,8.02325571,2.24347829,6,24
NONHSAT018036.2,ENST00000476130,lncipedia,lnc-MICAL2-2-1_dup1,0.055303941,0.999010597,0.998021194,6,3,0.234591783,12.53341385,1.436160986,0,24
NONHSAT018197.2,ENST00000530490,lncipedia,lnc-NUCB2-7-1_dup1,0.027929517,0.95591606,0.91183212,6,3,3.693468892,24.81772871,0.725287967,6,24
NONHSAT018198.2,NONHSAT018198.2,lncipedia,lnc-NUCB2-6-1_dup1,0.106418952,0.999963372,0.999926744,6,3,0.080693924,6.513380975,2.76354171,6,24
NONHSAT018220.2,NONHSAT018220.2,lncipedia,"lnc-RP1-239B22.1.1-3-1_dup1,lnc-RP1-239B22.1.1-3-1",0.107138947,0.95588672,0.91177344,6,3,0.013492016,6.46960981,2.782238888,0,24
NONHSAT018246.2,NONHSAT018246.2,lncipedia,"lnc-MYOD1-2-1_dup1,lnc-MYOD1-2-1",0.068232906,0.937598201,0.875196402,6,3,0.038833184,10.15854691,1.771906963,6,24
NONHSAT018347.2,NONHSAT018347.2,lncipedia,lnc-DBX1-6-1,0.076479717,0.901510617,0.803021234,6,3,0.020646409,9.063150382,1.986064364,0,24
NONHSAT018493.2,ENST00000499008,lncipedia,lnc-METTL15-4-4,0.089710201,0.938114846,0.876229692,6,3,0.0280976,7.726514595,2.329640329,6,24
NONHSAT018970.2,ENST00000528226,lncipedia,lnc-C11orf96-1-1_dup1,0.032573489,0.992507016,0.985014032,6,3,0.12664456,21.27948819,0.845885006,6,24
NONHSAT021424.2,ENST00000530595,lncipedia,lnc-ZDHHC5-1-2_dup1,0.035230302,0.91134584,0.822691681,6,3,0.26330687,19.67474397,0.914878487,6,24
NONHSAT021545.2,NONHSAT021545.2,lncipedia,"lnc-AP000790.1-4-1_dup1,lnc-AP000790.1-4-1",0.023587295,0.892349639,0.784699279,6,3,0.327446396,29.38646285,0.612526934,6,24
NONHSAT021662.2,NONHSAT021662.2,lncipedia,lnc-TMEM138-1-1_dup1,0.10902026,0.882583727,0.765167454,6,3,0.047439209,6.357966675,2.831093794,6,24
NONHSAT021847.2,ENST00000537024,lncipedia,lnc-WDR74-1-17,0.043193662,0.928188745,0.856377489,6,3,0.510085749,16.04742785,1.121675085,6,24
NONHSAT021901.2,NONHSAT021901.2,lncipedia,"lnc-ATL3-1-9_dup1,lnc-ATL3-1-9",0.10624922,0.999516196,0.999032393,6,3,0.719860498,6.523786065,2.759134009,0,24
NONHSAT021944.2,NONHSAT021944.2,lncipedia,lnc-MACROD1-1-1,0.056703193,0.990532442,0.981064885,6,3,0.237547759,12.2241296,1.472497477,6,24
NONHSAT022145.2,NONHSAT022145.2,lncipedia,lnc-SCYL1-1-23,0.034936213,0.963346209,0.926692418,6,3,11.35827415,19.84036379,0.907241429,6,24
NONHSAT022346.2,NONHSAT022346.2,lncipedia,lnc-RBM4B-3-1,0.050338438,0.987883087,0.975766173,0,3,0.184036399,13.76973959,0.871476176,0,12
NONHSAT022499.2,ENST00000529934,lncipedia,lnc-TCIRG1-1-1,0.032628969,0.996036717,0.994055076,0,4,0.644284111,21.24330623,1.129767643,0,24
NONHSAT022579.2,NONHSAT022579.2,lncipedia,lnc-TPCN2-5-3_dup1,0.084127196,0.918361129,0.836722258,0,3,0.053293454,8.239275885,1.456438669,0,12
NONHSAT022656.2,ENST00000500185,lncipedia,lnc-SHANK2-1-1,0.057115493,0.980938035,0.96187607,6,3,0.158627441,12.13588723,1.48320429,6,24
NONHSAT022715.2,NONHSAT022715.2,lncipedia,lnc-RP11-849H4.2.1-1-8,0.049134921,0.948505305,0.89701061,0,3,0.026258616,14.1070172,1.701280976,0,24
NONHSAT022820.2,ENST00000546324,lncipedia,lnc-FAM168A-2-1_dup1,0.113863639,0.975467576,0.950935151,0,3,0.195027899,6.087519986,1.971246095,0,12
NONHSAT022822.2,NONHSAT022822.2,lncipedia,lnc-ARHGEF17-1-1,0.103597713,0.912837311,0.869255967,0,4,0.572261029,6.690757571,3.587037753,0,24
NONHSAT022915.2,NONHSAT022915.2,lncipedia,lnc-CHRDL2-3-1_dup1,0.032573489,0.992507016,0.985014033,6,3,0.272507555,21.2794881,0.84588501,6,24
NONHSAT023118.2,NONHSAT023118.2,lncipedia,"lnc-MOGAT2-4-1_dup1,lnc-MOGAT2-4-1",0.029509623,0.954512706,0.909025413,6,3,0.328287033,23.48885262,0.766320956,0,24
NONHSAT023232.2,ENST00000404439,lncipedia,"lnc-INTS4-4-2_dup1,lnc-INTS4-4-2",0.166202874,0.974537327,0.949074655,6,3,0.216822219,4.170488537,4.316041116,6,24
NONHSAT023401.2,ENST00000463987,lncipedia,"lnc-PCF11-4-1_dup1,lnc-PCF11-4-1",0.050295458,0.847768503,0.771652755,0,4,0.176766268,13.78150651,1.741464185,0,24
NONHSAT024211.2,NONHSAT024211.2,lncipedia,lnc-PTS-1-15_dup1,0.050369149,0.987973617,0.975947234,0,3,0.072723614,13.76134398,0.872007852,0,12
NONHSAT024405.2,NONHSAT024405.2,lncipedia,"lnc-RNF214-2-1_dup1,lnc-RNF214-2-1",0.063196192,0.959553013,0.919106025,0,3,0.026417214,10.9681796,1.094073988,0,12
NONHSAT024525.2,NONHSAT024525.2,lncipedia,lnc-RP11-158I9.5.1-2-1_dup1,0.039194958,0.999823271,0.999646543,6,3,2.758703637,17.68460066,1.017834688,0,24
NONHSAT024534.2,ENST00000526453,lncipedia,lnc-RP11-110I1.12.1-1-1_dup1,0.05304402,0.973687374,0.947374748,6,3,0.965390718,13.06739544,1.377474194,6,24
NONHSAT024663.2,ENST00000498979,lncipedia,lnc-RP11-305N23.1.1-1-2_dup1,0.047732961,0.899609995,0.799219989,6,3,0.10768111,14.52135315,1.239553904,6,24
NONHSAT024934.2,NONHSAT024934.2,lncipedia,lnc-TMEM218-1-1,0.082370834,0.894023332,0.788046664,6,3,0.100859979,8.414958906,2.139047879,6,24
NONHSAT025359.2,ENST00000318291,lncipedia,lnc-B4GALNT3-2-3_dup1,0.029777219,0.972026398,0.944052796,6,3,0.760179318,23.27776767,0.773270025,0,24
NONHSAT025360.2,NONHSAT025360.2,lncipedia,lnc-B4GALNT3-2-5_dup1,0.20488361,0.943216576,0.886433152,6,3,0.042046935,3.383126545,5.320522233,6,24
NONHSAT025475.2,NONHSAT025475.2,lncipedia,lnc-NRIP2-4-2,0.032466987,0.868090301,0.802135452,0,4,0.093110107,21.34929179,1.12415907,0,24
NONHSAT026063.2,NONHSAT026063.2,lncipedia,lnc-LTBR-1-3_dup1,0.056731653,0.927726226,0.855452452,0,3,0.120258204,12.21799732,1.964315376,0,24
NONHSAT026107.2,ENST00000602946,lncipedia,lnc-IFFO1-3-1,0.051881352,0.875646066,0.751292132,6,3,0.156618596,13.36023753,1.347281436,6,24
NONHSAT026172.2,ENST00000274820,lncipedia,lnc-LRRC23-1-2,0.035220957,0.911330175,0.822660351,6,3,0.421019687,19.67996424,0.914635808,6,24
NONHSAT026231.2,ENST00000382215,lncipedia,lnc-CLSTN3-1-3_dup1,0.076889964,0.924017472,0.848034944,0,3,0.416200508,9.014793945,1.331145234,0,12
NONHSAT026235.2,NONHSAT026235.2,lncipedia,lnc-CLSTN3-1-8_dup1,0.085566204,0.950857028,0.901714055,6,3,0.295159303,8.100712066,2.222026885,6,24
NONHSAT026288.2,ENST00000454799,lncipedia,lnc-ZNF705A-1-3,0.089710202,0.938114846,0.876229691,6,3,0.030133282,7.726514523,2.32964035,6,24
NONHSAT026307.2,NONHSAT026307.2,lncipedia,lnc-FAM90A1-1-9,0.035310067,0.942758756,0.914138134,0,4,0.435858586,19.63029933,1.222599798,0,24
NONHSAT026316.2,ENST00000304751,lncipedia,lnc-ZNF705A-2-7,0.029063472,0.979526622,0.959053244,0,3,0.180531845,23.84942811,1.006313438,0,24
NONHSAT026825.2,NONHSAT026825.2,lncipedia,lnc-PZP-12-3_dup1,0.070399046,0.992011715,0.98402343,6,3,0.099702503,9.845974067,1.82815838,6,24
NONHSAT026839.2,ENST00000575094,lncipedia,lnc-CLEC2D-8-8_dup1,0.135222086,0.990392186,0.980784373,6,3,0.198464357,5.125990874,3.511516201,6,24
NONHSAT027287.2,NONHSAT027287.2,lncipedia,"lnc-ETNK1-6-1_dup1,lnc-ETNK1-6-1",0.20525637,0.971529026,0.943058052,6,3,0.13705873,3.376982553,5.330202249,0,24
NONHSAT027374.2,NONHSAT027374.2,lncipedia,lnc-BHLHE41-2-20_dup1,0.108123882,0.999998889,0.999997779,0,3,0.085012416,6.410676058,1.871877458,0,12
NONHSAT027558.2,ENST00000536397,lncipedia,lnc-METTL20-1-1_dup1,0.154726743,0.937734046,0.875468093,0,3,0.102359771,4.479814968,2.678682063,0,12
NONHSAT027609.2,NONHSAT027609.2,lncipedia,"lnc-BICD1-1-1_dup1,lnc-BICD1-1-1",0.105545518,0.911265939,0.866898909,0,4,0.034615011,6.567281975,3.654479904,0,24
NONHSAT027691.2,NONHSAT027691.2,lncipedia,lnc-ALG10B-1-2_dup1,0.050369149,0.987973614,0.975947228,0,3,0.174228304,13.76134396,0.872007853,0,12
NONHSAT028027.2,ENST00000549864,lncipedia,lnc-CACNB3-1-2_dup1,0.045848817,0.998491143,0.996982285,6,3,0.300898365,15.11810394,1.190625496,6,24
NONHSAT028143.2,ENST00000548872,lncipedia,lnc-TMBIM6-1-6,0.059802492,0.872380935,0.744761871,6,3,0.212253883,11.590607,1.552981651,6,24
NONHSAT028190.2,NONHSAT028190.2,lncipedia,"lnc-LARP4-6-1_dup1,lnc-LARP4-6-1",0.095790875,0.992087368,0.984174736,6,3,0.042062192,7.236046059,2.487546355,6,24
NONHSAT028247.2,NONHSAT028247.2,lncipedia,lnc-DAZAP2-2-1,0.059038015,0.981136821,0.962273641,6,3,0.851908479,11.7406925,1.533129328,6,24
NONHSAT028473.2,ENST00000602306,lncipedia,"lnc-MAP3K12-3-1,lnc-MAP3K12-3-1_dup1",0.105332076,0.895709318,0.843563977,0,4,0.167556522,6.580589787,3.647089513,0,24
NONHSAT028530.2,ENST00000505700,lncipedia,lnc-SMUG1-4-1_dup1,0.058538738,0.937757678,0.875515357,6,3,0.543923813,11.84082888,1.520163849,6,24
NONHSAT028706.2,NONHSAT028706.2,lncipedia,lnc-ORMDL2-1-23_dup1,0.050338438,0.987883086,0.975766172,0,3,0.035870367,13.76973946,0.871476184,0,12
