miRNA,have_motif,have_mean,no_motif,no_mean,D,p,fdr
hsa-miR-4447,2858,5.2783408,21033,6.533463228,0.090494952,0,0
hsa-miR-4492,5430,5.500790266,18461,6.642897944,0.080054573,0,0
hsa-miR-4498,6196,5.562354687,17695,6.670781602,0.07681439,0,0
hsa-miR-4505,5515,5.578397017,18376,6.624889559,0.071786143,0,0
hsa-miR-4651,4591,5.547315085,19300,6.582181685,0.073750885,0,0
hsa-miR-5001-5p,6530,5.55451699,17361,6.695054095,0.078511428,0,0
hsa-miR-5787,6316,5.631534268,17575,6.653488458,0.071568317,0,0
hsa-miR-608,4907,5.571444496,18984,6.593170667,0.07259691,0,0
hsa-miR-762,6815,5.587636801,17076,6.700871708,0.076416158,0,0
hsa-miR-8089,4422,5.441801082,19469,6.597163989,0.07730002,0,0
hsa-miR-3150a-3p,3421,5.441284054,20470,6.54075219,0.079474843,1.11E-16,2.95E-13
hsa-miR-1587,4881,5.622230833,19010,6.578733371,0.068853225,2.22E-16,5.89E-13
hsa-miR-4472,3109,5.412678192,20782,6.528525338,0.081438155,5.55E-16,1.47E-12
hsa-miR-4700-5p,3694,5.488010258,20197,6.547067396,0.075538043,6.66E-16,1.77E-12
hsa-miR-6763-5p,3522,5.447692851,20369,6.545095776,0.077047065,6.66E-16,1.77E-12
hsa-miR-4731-5p,5845,5.672227922,18046,6.613635037,0.062949442,1.22E-15,3.24E-12
hsa-miR-149-3p,3439,5.43429177,20452,6.542895594,0.07587135,3.77E-15,1.00E-11
hsa-miR-6848-5p,4330,5.482571279,19561,6.582705201,0.068859845,5.00E-15,1.33E-11
hsa-miR-6785-5p,3357,5.467382291,20534,6.533058719,0.076062373,6.33E-15,1.68E-11
hsa-miR-10394-5p,7435,5.900794818,16456,6.601325997,0.056928635,7.66E-15,2.03E-11
hsa-miR-6756-5p,4172,5.562683834,19719,6.556940673,0.069373098,8.10E-15,2.15E-11
hsa-miR-3620-5p,5511,5.709954716,18380,6.585215976,0.062447763,8.66E-15,2.30E-11
hsa-miR-185-3p,5735,5.663896574,18156,6.610563077,0.061584585,8.77E-15,2.33E-11
hsa-miR-6825-5p,4223,5.581957413,19668,6.555380513,0.068014128,2.15E-14,5.72E-11
hsa-miR-6846-5p,4082,5.479819049,19809,6.569499153,0.068639176,2.82E-14,7.48E-11
hsa-miR-6737-5p,3540,5.573002814,20351,6.524269084,0.07261754,3.09E-14,8.19E-11
hsa-miR-637,5694,5.706113446,18197,6.595220098,0.059926544,5.93E-14,1.57E-10
hsa-miR-1207-5p,5222,5.649999358,18669,6.588437165,0.060971314,1.33E-13,3.54E-10
hsa-miR-2861,5042,5.605415822,18849,6.591401321,0.061641961,1.49E-13,3.95E-10
hsa-miR-4728-5p,3455,5.528109566,20436,6.527902306,0.071503128,1.50E-13,3.99E-10
hsa-miR-6883-5p,3268,5.444224254,20623,6.532129429,0.073021316,1.72E-13,4.57E-10
hsa-miR-7155-5p,3615,5.60445609,20276,6.522179982,0.069312833,3.15E-13,8.36E-10
hsa-miR-4763-3p,5605,5.687213793,18286,6.596685813,0.057977933,5.96E-13,1.58E-09
hsa-miR-6751-5p,3886,5.617658586,20005,6.532047429,0.065959076,1.01E-12,2.68E-09
hsa-miR-5196-5p,3520,5.491502045,20371,6.53741804,0.068673674,1.01E-12,2.69E-09
hsa-miR-3192-5p,4980,5.644499447,18911,6.577876518,0.059109475,2.18E-12,5.78E-09
hsa-miR-92a-2-5p,3834,5.624491191,20057,6.528370686,0.065272528,2.45E-12,6.51E-09
hsa-miR-4487,3142,5.58667643,20749,6.503951648,0.070668227,2.91E-12,7.73E-09
hsa-miR-3158-3p,2090,5.419027414,21801,6.475760873,0.084347235,3.28E-12,8.70E-09
hsa-miR-330-5p,4922,5.719358023,18969,6.555598602,0.058581283,4.49E-12,1.19E-08
hsa-miR-6803-5p,3834,5.631082858,20057,6.527110655,0.064530213,4.56E-12,1.21E-08
hsa-miR-4745-5p,2377,5.32270332,21514,6.500500339,0.078849753,5.52E-12,1.46E-08
hsa-miR-6819-5p,3530,5.610863605,20361,6.517237933,0.06641065,5.97E-12,1.59E-08
hsa-miR-4741,3785,5.67248123,20106,6.517133623,0.064433404,6.52E-12,1.73E-08
hsa-miR-6721-5p,5998,5.749766297,17893,6.595692831,0.054249626,6.57E-12,1.74E-08
