miRNA,have_motif,have_mean,no_motif,no_mean,D,p,fdr
hsa-miR-4667-5p,3288,5.494480553,20603,6.525165171,0.068221335,6.89E-12,1.83E-08
hsa-miR-6798-5p,4218,5.637602174,19673,6.543202567,0.061629742,6.95E-12,1.85E-08
hsa-miR-6893-5p,4054,5.729385799,19837,6.516958212,0.062257696,9.30E-12,2.47E-08
hsa-miR-6808-5p,4339,5.685927997,19552,6.538082473,0.060485151,1.04E-11,2.76E-08
hsa-miR-486-3p,3976,5.65106652,19915,6.529509897,0.062455135,1.18E-11,3.13E-08
hsa-miR-4648,1093,5.154236124,22798,6.44224274,0.110431069,1.79E-11,4.75E-08
hsa-miR-6782-5p,3019,5.53265331,20872,6.506360183,0.068765282,2.94E-11,7.80E-08
hsa-miR-6812-5p,3318,5.668279313,20573,6.498637988,0.065954599,3.20E-11,8.50E-08
hsa-miR-4675,3521,5.623519385,20370,6.514649893,0.064210125,3.55E-11,9.42E-08
hsa-miR-6752-5p,4032,5.6523358,19859,6.531729298,0.060582838,4.13E-11,1.10E-07
hsa-miR-3135b,5111,5.709802528,18780,6.566614982,0.055295757,4.28E-11,1.13E-07
hsa-miR-6754-5p,4805,5.674821466,19086,6.561684635,0.056230864,5.74E-11,1.52E-07
hsa-miR-6829-5p,4675,5.754839367,19216,6.536217529,0.056361521,8.43E-11,2.24E-07
hsa-miR-6851-5p,4407,5.636655333,19484,6.552201295,0.057424041,1.02E-10,2.70E-07
hsa-miR-328-5p,3561,5.522130866,20330,6.534162423,0.062191228,1.32E-10,3.51E-07
hsa-miR-3619-5p,7721,5.926298778,16170,6.60153848,0.046948027,1.98E-10,5.25E-07
hsa-miR-4747-5p,2966,5.538824815,20925,6.503019148,0.066299672,2.41E-10,6.41E-07
hsa-miR-5189-5p,5091,5.686853173,18800,6.571918116,0.053218425,2.79E-10,7.41E-07
hsa-miR-4271,2627,5.555540332,21264,6.485582469,0.069505054,3.09E-10,8.20E-07
hsa-miR-6885-5p,3409,5.505879442,20482,6.529356853,0.061866813,3.84E-10,1.02E-06
hsa-miR-920,2577,5.537811342,21314,6.485544255,0.069464873,4.63E-10,1.23E-06
hsa-miR-4446-3p,4756,5.724789712,19135,6.546994001,0.053876522,4.98E-10,1.32E-06
hsa-miR-6842-5p,3635,5.617102617,20256,6.52081665,0.059682759,5.83E-10,1.55E-06
hsa-miR-6132,4617,5.711903303,19274,6.544151319,0.05406449,6.99E-10,1.85E-06
hsa-miR-6805-5p,3604,5.615699506,20287,6.519684974,0.059494219,7.80E-10,2.07E-06
hsa-miR-939-5p,3372,5.744490237,20519,6.488299089,0.061132445,7.95E-10,2.11E-06
hsa-miR-8085,2910,5.684967917,20981,6.480176038,0.065039634,8.15E-10,2.16E-06
hsa-miR-6842-3p,3986,5.683562443,19905,6.523443868,0.057039099,8.25E-10,2.19E-06
hsa-miR-1291,4548,5.835857439,19343,6.51203797,0.053569453,1.33E-09,3.52E-06
hsa-miR-7110-5p,3551,5.627863412,20340,6.515205856,0.059070928,1.37E-09,3.65E-06
hsa-miR-6778-5p,2784,5.548376603,21107,6.493445284,0.065451182,1.41E-09,3.74E-06
hsa-miR-7109-5p,3017,5.558707434,20874,6.502501186,0.063181875,1.45E-09,3.85E-06
hsa-miR-6879-5p,4360,5.743643484,19531,6.526114612,0.054231124,1.57E-09,4.17E-06
hsa-miR-3187-5p,5135,5.735550925,18756,6.560661979,0.050727427,1.95E-09,5.18E-06
hsa-miR-4514,3361,5.681911534,20530,6.498145417,0.059929367,1.96E-09,5.19E-06
hsa-miR-6852-5p,4893,5.735823241,18998,6.550081428,0.051605086,2.00E-09,5.31E-06
hsa-miR-661,5278,5.742406902,18613,6.565057027,0.050161028,2.06E-09,5.47E-06
hsa-miR-6726-5p,3079,5.546690779,20812,6.507090581,0.062091476,2.09E-09,5.53E-06
hsa-miR-6085,3002,5.599841543,20889,6.495912,0.062751215,2.11E-09,5.59E-06
hsa-miR-1915-3p,5142,5.823209663,18749,6.536929223,0.050541723,2.23E-09,5.91E-06
hsa-miR-1343-5p,3400,5.76099093,20491,6.486577567,0.05930819,2.46E-09,6.54E-06
hsa-miR-6860,5018,5.776585863,18873,6.54463637,0.050827512,2.55E-09,6.76E-06
hsa-miR-4723-5p,2560,5.572733056,21331,6.480597884,0.066922554,2.57E-09,6.81E-06
hsa-miR-6511a-5p,3305,5.752625979,20586,6.484572099,0.059936919,2.60E-09,6.90E-06
hsa-miR-4726-5p,5903,5.83472255,17988,6.563345723,0.047952206,2.66E-09,7.05E-06
hsa-miR-6779-5p,3919,5.664973201,19972,6.524273989,0.055809532,2.74E-09,7.27E-06
hsa-miR-34a-5p,2581,5.460482645,21310,6.495087958,0.066539493,2.80E-09,7.44E-06
hsa-miR-4632-5p,4914,5.778906862,18977,6.539826198,0.050941558,3.18E-09,8.45E-06
hsa-miR-761,4958,5.846451748,18933,6.523906529,0.050693251,3.40E-09,9.01E-06
hsa-miR-4665-5p,3389,5.576302072,20502,6.516717509,0.058805381,3.68E-09,9.76E-06
hsa-miR-6766-5p,3103,5.597647559,20788,6.500593117,0.061007658,3.74E-09,9.92E-06
hsa-miR-1273h-5p,3232,5.577361509,20659,6.50940499,0.059785273,4.21E-09,1.12E-05
hsa-miR-6836-5p,5490,5.798025772,18401,6.557940796,0.048526526,4.49E-09,1.19E-05
hsa-miR-6780a-5p,3657,5.617274914,20234,6.521768099,0.056582313,4.88E-09,1.29E-05
hsa-miR-6722-3p,4866,5.744424327,19025,6.546725956,0.050517885,5.15E-09,1.37E-05
hsa-miR-4739,3670,5.626384007,20221,6.520696344,0.056349666,5.42E-09,1.44E-05
hsa-miR-612,5579,5.770506251,18312,6.570018333,0.047956294,5.74E-09,1.52E-05
hsa-miR-378g,3114,5.713917877,20777,6.483644887,0.060145539,6.19E-09,1.64E-05
hsa-miR-3652,2925,5.565008744,20966,6.497480659,0.061775883,6.20E-09,1.65E-05
hsa-miR-6775-3p,3432,5.777841759,20459,6.484885731,0.057420316,7.66E-09,2.03E-05
hsa-miR-8052,2108,5.728762305,21783,6.4466602,0.070616058,9.47E-09,2.51E-05
hsa-miR-6813-5p,4116,5.669450459,19775,6.531902503,0.053020718,9.60E-09,2.55E-05
hsa-miR-7111-5p,3054,5.589307808,20837,6.499692088,0.059893789,1.00E-08,2.66E-05
hsa-miR-138-5p,4133,5.672301553,19758,6.532048171,0.052828568,1.04E-08,2.75E-05
hsa-miR-4640-5p,6012,5.850537076,17879,6.562470003,0.046015116,1.06E-08,2.82E-05
hsa-miR-4270,4182,5.690319453,19709,6.530362481,0.052247431,1.32E-08,3.51E-05
hsa-miR-3665,3666,5.734292199,20225,6.500959945,0.054972935,1.43E-08,3.79E-05
hsa-miR-3689b-3p,3073,5.658026748,20818,6.490379186,0.059083814,1.52E-08,4.03E-05
hsa-miR-3689c,3073,5.658026748,20818,6.490379186,0.059083814,1.52E-08,4.03E-05
hsa-miR-4689,3160,5.528036793,20731,6.513686451,0.058385626,1.52E-08,4.04E-05
hsa-miR-6735-5p,5044,5.844841019,18847,6.527428874,0.048460732,1.53E-08,4.06E-05
hsa-miR-6511b-5p,4226,5.783744664,19665,6.512165021,0.051815087,1.55E-08,4.10E-05
hsa-miR-5006-5p,3888,5.791196854,20003,6.498408074,0.053551741,1.56E-08,4.13E-05
hsa-miR-449b-5p,2263,5.425641192,21628,6.483521549,0.067441074,1.61E-08,4.28E-05
hsa-miR-6884-5p,3539,5.645163596,20352,6.511674337,0.05558915,1.62E-08,4.30E-05
hsa-miR-1237-5p,2630,5.559785642,21261,6.485188554,0.062906913,1.80E-08,4.79E-05
hsa-miR-6777-5p,2304,5.593352403,21587,6.467630803,0.066584811,1.92E-08,5.11E-05
hsa-miR-6780b-5p,3704,5.665891814,20187,6.514953525,0.054259681,1.98E-08,5.27E-05
hsa-miR-760,4367,5.72678329,19524,6.530166331,0.050750476,2.08E-08,5.51E-05
hsa-miR-6791-5p,4724,5.751246685,19167,6.539100576,0.049180491,2.18E-08,5.79E-05
hsa-miR-5698,2907,5.661747718,20984,6.48327914,0.059740391,2.43E-08,6.46E-05
hsa-miR-4725-3p,3695,5.684172641,20196,6.511230549,0.053953006,2.53E-08,6.72E-05
hsa-miR-6738-5p,1698,5.46480976,22193,6.453592714,0.075877447,2.59E-08,6.87E-05
hsa-miR-6748-5p,2701,5.61503756,21190,6.481246514,0.061384969,2.89E-08,7.66E-05
hsa-miR-4430,3090,5.561711256,20801,6.50536716,0.057848678,3.03E-08,8.03E-05
hsa-miR-8073,3519,5.721782442,20372,6.497588733,0.054748152,3.08E-08,8.18E-05
hsa-miR-6776-5p,3466,5.638859246,20425,6.509647194,0.055031603,3.21E-08,8.52E-05
hsa-miR-4755-3p,4168,5.834120708,19723,6.499377122,0.051009565,3.35E-08,8.88E-05
hsa-miR-1909-3p,4612,5.752160518,19279,6.534304983,0.048947313,3.60E-08,9.55E-05
hsa-miR-6889-5p,2420,5.617102828,21471,6.469677297,0.063990984,3.68E-08,9.76E-05
hsa-miR-6731-5p,2687,5.690604469,21204,6.471098655,0.061029679,3.85E-08,0.000102264
hsa-miR-6810-5p,2492,5.568619246,21399,6.478192015,0.063021033,3.99E-08,0.000105901
hsa-miR-6764-5p,5548,5.895605444,18343,6.530829803,0.045600673,4.05E-08,0.000107482
hsa-miR-6734-5p,2504,5.700997407,21387,6.463203468,0.06284238,4.09E-08,0.000108627
hsa-miR-6870-5p,2768,5.586878789,21123,6.487684022,0.060127747,4.13E-08,0.000109596
hsa-miR-3064-5p,5213,5.795949004,18678,6.547250665,0.046514119,4.39E-08,0.000116415
hsa-miR-10396b-5p,3369,5.652995638,20522,6.503210592,0.055188216,4.42E-08,0.000117242
hsa-miR-3911,1626,5.372480574,22265,6.45713796,0.07625858,4.43E-08,0.000117684
hsa-miR-4756-5p,2701,5.538329669,21190,6.491024146,0.060619221,4.51E-08,0.000119824
hsa-miR-6816-5p,2777,5.627002072,21114,6.482790818,0.059704765,5.04E-08,0.000133703
hsa-miR-6874-5p,2534,5.733954152,21357,6.460363827,0.062127728,5.09E-08,0.000135038
hsa-miR-765,3614,5.724520748,20277,6.500735419,0.053321309,5.32E-08,0.000141284
hsa-miR-3184-5p,3182,5.644728875,20709,6.496803457,0.05618919,5.46E-08,0.000144893
hsa-miR-34c-5p,1699,5.583123128,22192,6.444579303,0.074216066,5.63E-08,0.000149488
hsa-miR-4302,1414,5.321347661,22477,6.450124327,0.080539315,6.39E-08,0.000169717
hsa-miR-5194,1832,5.529515118,22059,6.454225413,0.071379756,6.53E-08,0.000173411
hsa-miR-1908-5p,3235,5.644643169,20656,6.499003168,0.055469488,6.70E-08,0.000177817
hsa-miR-2467-5p,2910,5.629503726,20981,6.48786875,0.057949534,7.03E-08,0.000186537
hsa-miR-10401-5p,1798,5.54162092,22093,6.451817122,0.071748072,7.36E-08,0.000195231
hsa-miR-6796-5p,3162,5.76947781,20729,6.476952156,0.055671867,8.23E-08,0.000218388
hsa-miR-3929,2099,5.633039616,21792,6.455583697,0.066625562,8.30E-08,0.000220281
hsa-miR-663a,3371,5.663913533,20520,6.501499881,0.054019362,9.17E-08,0.000243389
hsa-miR-7106-5p,3191,5.789500417,20700,6.474856727,0.05527595,9.19E-08,0.000244009
hsa-miR-3934-3p,4009,5.753562283,19882,6.510300719,0.050316774,9.21E-08,0.000244464
hsa-miR-6799-5p,2853,5.59612829,21038,6.490069211,0.057949135,9.40E-08,0.000249472
hsa-miR-3689a-3p,3246,5.684081328,20645,6.493257549,0.054771034,9.82E-08,0.000260702
hsa-miR-6799-3p,3502,5.880246899,20389,6.469724138,0.052969809,1.04E-07,0.000276239
hsa-miR-422a,1615,5.50572438,22276,6.446942234,0.074233442,1.24E-07,0.000329125
hsa-miR-6789-5p,1454,5.411183042,22437,6.446315013,0.077851578,1.30E-07,0.000343824
hsa-miR-30b-3p,2793,5.644764147,21098,6.481088436,0.057799727,1.39E-07,0.00036959
hsa-miR-7150,3105,5.657301452,20786,6.491768935,0.05517144,1.44E-07,0.000382455
hsa-miR-4436b-3p,3468,5.704296147,20423,6.498620724,0.052606081,1.50E-07,0.000397058
hsa-miR-4749-5p,1864,5.597917186,22027,6.449780381,0.069034326,1.54E-07,0.000408292
hsa-miR-4508,2597,5.693547975,21294,6.467440875,0.059383241,1.63E-07,0.000431601
hsa-miR-1343-3p,4843,5.90100055,19048,6.505947313,0.045954782,1.65E-07,0.000438658
hsa-miR-6811-5p,2169,5.65125432,21722,6.456415591,0.06429209,1.66E-07,0.000441149
hsa-miR-5088-5p,3217,5.631572364,20674,6.500293208,0.0540899,1.69E-07,0.000447259
hsa-miR-423-5p,3026,5.725733278,20865,6.478684936,0.055506261,1.69E-07,0.000449557
hsa-miR-1275,2502,5.513707283,21389,6.48504065,0.060216,1.76E-07,0.000467931
hsa-miR-541-3p,3272,5.655331258,20619,6.498840206,0.053620726,1.77E-07,0.000470657
hsa-miR-6815-5p,3964,5.853070769,19927,6.488796987,0.049464868,1.88E-07,0.00049919
hsa-miR-4692,4867,5.864180642,19024,6.516130304,0.045669929,1.91E-07,0.000505653
hsa-miR-7974,3913,5.815337005,19978,6.49456484,0.049481173,2.20E-07,0.000583891
hsa-miR-4748,696,5.30878487,23195,6.415560069,0.108742842,2.29E-07,0.000608869
hsa-miR-127-5p,1539,5.563662988,22352,6.439752718,0.074457129,2.33E-07,0.000618743
hsa-miR-3180-3p,2783,5.649795371,21108,6.480028878,0.056965492,2.35E-07,0.000622932
hsa-miR-6786-5p,2137,5.533998793,21754,6.466749778,0.064017207,2.37E-07,0.000628607
hsa-miR-4757-5p,3356,5.622069118,20535,6.507726619,0.052573095,2.38E-07,0.000630766
hsa-miR-6510-5p,3937,5.878545081,19954,6.482910599,0.04922331,2.40E-07,0.000637907
hsa-miR-6515-5p,2453,5.517952708,21438,6.482334737,0.060058496,2.54E-07,0.000674089
hsa-miR-665,5186,5.890630161,18705,6.519915641,0.044203025,2.57E-07,0.000682431
hsa-miR-4721,3050,5.666565963,20841,6.488210925,0.054561964,2.64E-07,0.000699988
hsa-miR-6797-5p,2884,5.690999853,21007,6.478363712,0.055630093,3.05E-07,0.000809975
hsa-miR-4488,2541,5.618271594,21350,6.474370115,0.058709686,3.18E-07,0.000844509
hsa-miR-9851-5p,2965,5.755879842,20926,6.472218596,0.05489644,3.18E-07,0.000845202
hsa-miR-650,3260,5.755600994,20631,6.482505494,0.052691985,3.25E-07,0.000862805
hsa-miR-4646-5p,2815,5.63208685,21076,6.483654659,0.055933226,3.57E-07,0.000947887
hsa-miR-4706,1969,5.585782809,21922,6.454950448,0.06548155,3.73E-07,0.000990913
hsa-miR-2467-3p,3656,5.830061956,20235,6.483277666,0.049971749,3.84E-07,0.001019768
hsa-miR-1914-3p,2380,5.769354883,21511,6.451246593,0.059935409,4.12E-07,0.00109308
hsa-miR-125a-5p,2096,5.671451982,21795,6.451776404,0.063436949,4.14E-07,0.001099756
hsa-miR-4257,1560,5.554003842,22331,6.441251359,0.072563379,4.29E-07,0.001137968
hsa-miR-3196,2630,5.65029707,21261,6.473992229,0.057239062,4.37E-07,0.001160026
hsa-miR-940,2266,5.624393174,21625,6.462841857,0.061097052,4.48E-07,0.001187691
hsa-miR-6787-5p,3354,5.672931505,20537,6.499333779,0.051505581,4.55E-07,0.001206585
hsa-miR-6858-5p,3620,5.705316669,20271,6.50439464,0.049645262,5.32E-07,0.001411152
hsa-miR-378i,1041,5.390323075,22850,6.428555963,0.087178462,5.35E-07,0.001420232
hsa-miR-7113-5p,3830,5.745876095,20061,6.505015933,0.048484147,5.43E-07,0.001440382
hsa-miR-7847-3p,2915,5.76646132,20976,6.469040586,0.054330883,5.48E-07,0.001455303
hsa-miR-11181-3p,4054,5.774351643,19837,6.507768741,0.047316824,5.69E-07,0.001510108
hsa-miR-6732-5p,2495,5.644479007,21396,6.469473498,0.05807444,5.69E-07,0.001511036
hsa-miR-4433a-3p,2096,5.54077328,21795,6.464343624,0.062760582,5.74E-07,0.001524259
hsa-miR-4441,1289,5.335046328,22602,6.443100405,0.078299194,6.42E-07,0.001702939
hsa-miR-6724-5p,3897,5.782250566,19994,6.500470122,0.047810558,6.70E-07,0.001776903
hsa-miR-4474-3p,2549,5.839042775,21342,6.448323027,0.057127237,7.02E-07,0.001863377
hsa-miR-4734,2810,5.642922515,21081,6.48200834,0.054686659,7.25E-07,0.00192364
hsa-miR-12119,3693,5.66698153,20198,6.514291875,0.048727093,7.28E-07,0.001932305
hsa-miR-3085-3p,4152,5.782103775,19739,6.509779381,0.046451386,7.44E-07,0.001975551
hsa-miR-3622b-5p,2200,5.722208295,21691,6.450369823,0.060794108,7.74E-07,0.002054746
hsa-miR-6769b-5p,2683,5.747032026,21208,6.463812861,0.05562077,7.96E-07,0.002113555
hsa-miR-4463,1390,5.475954139,22501,6.439369531,0.074911427,8.32E-07,0.002207355
hsa-miR-7160-5p,4606,5.862007906,19285,6.507825858,0.044331744,9.00E-07,0.002388661
hsa-miR-4481,1557,5.393767695,22334,6.452302936,0.070613686,9.93E-07,0.002636206
hsa-miR-4697-5p,2438,5.558472866,21453,6.477055574,0.057459948,1.05E-06,0.002797524
hsa-miR-1233-5p,2996,5.629974643,20895,6.491334102,0.052500934,1.07E-06,0.002828783
hsa-miR-6769a-5p,2222,5.676218429,21669,6.455825037,0.059850565,1.07E-06,0.002847546
hsa-miR-6741-5p,2765,5.72486955,21126,6.469495682,0.054207486,1.15E-06,0.003051776
hsa-miR-4327,969,5.507084393,22922,6.420358839,0.087904113,1.15E-06,0.003055439
hsa-miR-6727-5p,2222,5.74466797,21669,6.448806029,0.059669396,1.17E-06,0.003107241
hsa-miR-7843-5p,3637,5.821478464,20254,6.484206226,0.048228534,1.18E-06,0.003130318
hsa-miR-6865-5p,3462,5.84036643,20429,6.475328283,0.049214765,1.18E-06,0.003140385
hsa-miR-4437,2222,5.503824631,21669,6.473502781,0.059591305,1.22E-06,0.0032261
hsa-miR-3189-3p,2910,5.613559593,20981,6.490080152,0.05290306,1.23E-06,0.003254707
hsa-miR-5589-5p,3265,5.756349112,20626,6.482563281,0.050327728,1.26E-06,0.003338004
hsa-miR-3194-3p,3672,5.768685315,20219,6.494941273,0.047901863,1.28E-06,0.003398397
hsa-miR-654-5p,3021,5.694324931,20870,6.483051004,0.051925659,1.32E-06,0.003503662
hsa-miR-328-3p,2420,5.747774498,21471,6.454949271,0.057117981,1.37E-06,0.003646823
hsa-miR-3151-5p,3268,5.709089913,20623,6.490157797,0.050030889,1.47E-06,0.003905584
hsa-miR-326,2802,5.657068659,21089,6.479810503,0.05335203,1.53E-06,0.004071895
hsa-miR-6804-5p,2452,5.507559993,21439,6.48347838,0.056496078,1.59E-06,0.004214695
hsa-miR-3180,2628,5.687662957,21263,6.469296517,0.054494122,1.85E-06,0.004920261
hsa-miR-449a,2245,5.615664353,21646,6.462933734,0.058383789,1.90E-06,0.005042946
hsa-miR-604,2001,5.595517922,21890,6.455331143,0.06131982,2.06E-06,0.005457962
hsa-miR-1199-5p,3029,5.769454054,20862,6.472445295,0.05098041,2.14E-06,0.005675482
hsa-miR-6744-3p,3385,5.755927026,20506,6.486882722,0.048588639,2.20E-06,0.00584908
hsa-miR-8075,3837,5.852536115,20054,6.484873293,0.046115052,2.25E-06,0.005966727
hsa-miR-4685-5p,7016,6.015677015,16875,6.536168305,0.037168487,2.26E-06,0.006003547
hsa-miR-194-3p,2708,5.751928785,21183,6.464032806,0.053301186,2.38E-06,0.006308273
hsa-miR-6504-5p,4235,5.854026352,19656,6.497355946,0.04410396,2.60E-06,0.006887647
hsa-miR-6840-3p,4901,5.986003484,18990,6.485857136,0.041701165,2.61E-06,0.006930267
hsa-miR-1250-5p,1589,5.643864896,22302,6.436002545,0.067476811,2.72E-06,0.007223239
hsa-miR-4722-5p,5270,5.966385779,18621,6.501314485,0.040539476,2.74E-06,0.007269867
hsa-miR-8077,2084,5.579075239,21807,6.460175049,0.059476557,2.86E-06,0.007589097
hsa-miR-615-5p,4329,5.877313418,19562,6.495293952,0.043483024,3.02E-06,0.00800989
hsa-miR-135b-3p,820,5.205366528,23071,6.42518441,0.091920223,3.09E-06,0.008194251
hsa-miR-3692-5p,6460,5.901331783,17431,6.561942904,0.03760657,3.25E-06,0.00861288
hsa-miR-1205,4951,5.887759643,18940,6.512858083,0.041200822,3.26E-06,0.008665273
hsa-miR-4292,3859,5.786080875,20032,6.498369808,0.045340153,3.34E-06,0.008858563
hsa-miR-199b-5p,937,5.47256259,22954,6.420494856,0.085900817,3.40E-06,0.009015182
hsa-miR-3169,1410,5.496989577,22481,6.43890729,0.07044524,3.82E-06,0.01013814
hsa-miR-4515,2247,5.722000196,21644,6.451972632,0.056806517,3.94E-06,0.01045024
hsa-miR-1321,1599,5.40968689,22292,6.453155425,0.066237988,4.12E-06,0.010942807
hsa-miR-6794-5p,2198,5.765561122,21693,6.445910051,0.057118722,4.42E-06,0.011728934
hsa-miR-873-3p,1665,5.558628908,22226,6.445096416,0.064818224,4.45E-06,0.011811662
hsa-miR-6783-3p,4104,5.921863635,19787,6.479026721,0.043686977,4.64E-06,0.012309058
hsa-miR-1293,2436,5.700892011,21455,6.46079968,0.054438185,4.68E-06,0.012411757
hsa-miR-4656,3854,5.763277143,20037,6.502578229,0.044634538,5.10E-06,0.013541038
hsa-miR-6774-5p,3418,5.847373206,20473,6.472793849,0.046780876,5.41E-06,0.014364902
hsa-miR-6742-5p,2220,5.743806071,21671,6.448829339,0.05634291,5.60E-06,0.01487328
hsa-miR-3155a,4192,5.815695034,19699,6.50410866,0.04299041,5.65E-06,0.015005991
hsa-miR-6715b-5p,2855,5.776987028,21036,6.465608106,0.050378003,5.75E-06,0.015253951
hsa-miR-12114,2642,5.810642282,21249,6.454520833,0.052063384,5.87E-06,0.015577544
hsa-miR-6775-5p,2246,5.598444718,21645,6.464759679,0.055850364,6.14E-06,0.01628497
hsa-miR-6773-5p,3306,5.749744858,20585,6.485070371,0.047039741,6.70E-06,0.017790591
hsa-miR-485-5p,3251,5.747884868,20640,6.483403894,0.047356508,6.76E-06,0.017944862
hsa-miR-134-5p,1706,5.563377972,22185,6.446369496,0.063044113,6.79E-06,0.018027523
hsa-miR-6125,1655,5.753743451,22236,6.430175601,0.063832255,7.07E-06,0.018769102
hsa-miR-6822-5p,993,5.413955344,22898,6.425354722,0.081151826,7.19E-06,0.019092602
hsa-miR-3155b,3674,5.764159045,20217,6.495835671,0.044850323,7.40E-06,0.019626394
hsa-miR-449c-5p,2449,5.781293781,21442,6.452077307,0.053285552,7.59E-06,0.020149335
hsa-miR-146b-3p,2773,5.714293813,21118,6.471166462,0.050414109,7.76E-06,0.020597532
hsa-miR-331-3p,2999,5.784000592,20892,6.469347708,0.048691784,7.95E-06,0.021098834
hsa-miR-8071,1543,5.510432728,22348,6.443584767,0.065524327,8.29E-06,0.021996862
hsa-miR-1301-3p,5192,5.952593626,18699,6.502912668,0.038980913,8.66E-06,0.022991627
hsa-miR-632,1614,5.562895368,22277,6.442757865,0.063996635,8.86E-06,0.023508518
hsa-miR-4736,2437,5.749282167,21454,6.455338372,0.052971308,9.28E-06,0.024619128
hsa-miR-1249-5p,2781,5.708638806,21110,6.472198274,0.049988017,9.28E-06,0.024635961
hsa-miR-6880-5p,4173,5.876136063,19718,6.490653935,0.042156229,9.65E-06,0.025619262
